 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,9,817.278,83.278,5.533,2.071,64.091,0.447,100,2.671,0.374,0.562
2,9,803.500,86.500,6.150,1.863,120.850,0.482,100,3.300,0.303,0.621
3,19,814.289,91.079,10.847,2.230,169.751,0.228,100,4.864,0.206,0.487
4,14,803.500,95.000,10.720,1.663,77.497,0.275,100,6.447,0.155,0.560
5,14,790.786,103.857,7.312,2.438,17.146,0.333,100,2.999,0.333,0.528
6,8,798.500,103.000,5.802,1.756,17.496,0.520,100,3.305,0.303,0.640
7,11,803.773,107.227,9.708,1.443,96.431,0.295,100,6.730,0.149,0.710
8,103,794.034,124.199,12.629,10.384,96.590,0.049,100,1.216,0.822,0.189
9,19,815.868,111.974,7.834,3.088,148.739,0.255,100,2.537,0.394,0.427
10,3,807.500,112.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
11,11,811.227,117.773,9.708,1.443,96.431,0.295,100,6.730,0.149,0.710
12,23,775.022,127.935,9.459,3.096,64.105,0.172,100,3.055,0.327,0.329
13,43,814.267,139.267,21.404,2.558,57.268,0.113,100,8.368,0.120,0.355
14,18,778.500,138.333,6.941,3.302,82.405,0.288,100,2.102,0.476,0.444
15,10,784.700,143.200,5.776,2.204,170.757,0.419,100,2.620,0.382,0.588
16,21,796.452,147.976,10.654,2.510,145.020,0.169,100,4.246,0.236,0.362
17,17,781.441,150.676,10.148,2.133,116.819,0.276,100,4.758,0.210,0.493
18,7,789.500,148.500,5.499,1.621,118.155,0.564,100,3.393,0.295,0.700
19,49,797.173,167.071,14.260,4.375,96.997,0.091,100,3.259,0.307,0.216
20,8,788.500,154.000,6.110,1.667,42.145,0.621,100,3.665,0.273,0.727
21,81,803.796,184.401,27.407,3.763,81.155,0.048,100,7.283,0.137,0.224
22,16,761.250,158.250,8.070,2.524,127.982,0.254,100,3.197,0.313,0.432
23,12,783.500,161.000,9.096,1.680,58.283,0.372,100,5.416,0.185,0.632
24,8,754.250,164.250,5.951,1.712,123.583,0.567,100,3.477,0.288,0.667
25,10,770.100,164.400,6.638,1.918,154.818,0.419,100,3.460,0.289,0.588
26,11,761.682,166.682,7.201,1.945,20.760,0.371,100,3.703,0.270,0.564
27,7,776.786,165.786,5.930,1.503,10.822,0.515,100,3.946,0.253,0.737
28,15,782.900,172.100,12.315,1.551,99.322,0.232,100,7.940,0.126,0.612
29,15,751.433,171.433,10.007,1.909,33.358,0.317,100,5.243,0.191,0.556
30,18,770.333,173.833,11.780,1.946,51.439,0.276,100,6.055,0.165,0.522
31,12,760.667,176.833,8.789,1.738,154.464,0.351,100,5.056,0.198,0.600
32,10,764.500,184.000,8.191,1.554,71.736,0.368,100,5.270,0.190,0.667
33,27,775.685,186.685,13.119,2.621,55.222,0.169,100,5.006,0.200,0.378
34,9,785.611,183.722,8.127,1.410,106.428,0.331,100,5.763,0.174,0.621
35,15,739.967,188.233,9.124,2.093,70.324,0.276,100,4.359,0.229,0.526
36,7,753.643,186.357,6.247,1.427,95.512,0.472,100,4.378,0.228,0.737
37,6,790.333,187.833,4.986,1.532,14.655,0.615,100,3.254,0.307,0.750
38,7,759.071,189.071,5.957,1.496,14.089,0.515,100,3.982,0.251,0.737
39,7,763.500,192.500,7.899,1.128,90.000,0.400,100,7.000,0.143,1.000
40,20,786.050,198.550,17.373,1.466,84.792,0.170,100,11.852,0.084,0.588
41,6,753.500,192.000,4.633,1.649,50.310,0.686,100,2.810,0.356,0.750
42,9,747.944,195.944,6.818,1.681,33.234,0.521,100,4.056,0.247,0.667
43,18,753.500,201.667,10.534,2.176,100.664,0.236,100,4.842,0.207,0.529
44,5,767.500,196.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
45,17,760.794,202.794,11.458,1.889,57.981,0.276,100,6.066,0.165,0.548
46,22,775.909,203.591,12.110,2.313,135.100,0.206,100,5.236,0.191,0.393
47,20,741.350,207.850,11.628,2.190,89.562,0.206,100,5.310,0.188,0.449
48,27,783.796,218.130,16.951,2.028,85.315,0.141,100,8.358,0.120,0.478
49,2,756.500,210.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
50,27,750.019,218.611,10.272,3.347,76.500,0.183,100,3.069,0.326,0.353
51,23,757.500,220.848,13.821,2.119,83.199,0.172,100,6.523,0.153,0.414
52,16,768.875,219.625,14.576,1.398,95.310,0.201,100,10.429,0.096,0.696
53,43,716.523,238.593,12.576,4.353,85.833,0.097,100,2.889,0.346,0.213
54,11,745.136,230.864,7.465,1.876,24.467,0.322,100,3.978,0.251,0.489
55,3,752.500,229.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
56,13,789.577,231.962,5.570,2.972,140.817,0.301,100,1.874,0.534,0.464
57,2,754.500,232.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
58,15,780.233,234.967,7.599,2.513,26.172,0.302,100,3.024,0.331,0.455
59,13,736.808,235.808,6.551,2.527,59.450,0.286,100,2.592,0.386,0.441
60,10,757.800,236.700,7.712,1.651,107.380,0.368,100,4.671,0.214,0.645
61,14,753.571,238.643,6.301,2.829,97.704,0.275,100,2.228,0.449,0.438
62,17,743.265,240.559,8.413,2.573,91.363,0.255,100,3.270,0.306,0.472
63,5,768.300,240.700,4.183,1.522,100.901,0.674,100,2.749,0.364,0.769
64,16,728.062,243.562,8.261,2.466,37.505,0.265,100,3.350,0.299,0.451
65,17,709.088,247.206,11.539,1.876,118.393,0.223,100,6.152,0.163,0.459
66,33,734.288,248.439,10.061,4.176,21.505,0.139,100,2.409,0.415,0.296
67,21,757.405,249.786,8.811,3.035,64.540,0.193,100,2.904,0.344,0.359
68,22,776.909,252.955,7.280,3.848,71.500,0.213,100,1.892,0.529,0.346
69,18,699.611,259.389,12.425,1.844,66.362,0.224,100,6.736,0.148,0.474
70,54,705.833,271.963,14.010,4.908,94.220,0.082,100,2.855,0.350,0.176
71,10,714.500,258.000,6.900,1.845,125.896,0.482,100,3.739,0.267,0.588
72,9,747.611,256.611,4.665,2.457,45.000,0.388,100,1.899,0.527,0.529
73,3,752.500,257.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
74,6,749.667,261.167,4.986,1.532,14.655,0.615,100,3.254,0.307,0.750
75,41,763.354,269.476,12.856,4.061,109.935,0.104,100,3.166,0.316,0.211
76,18,738.444,262.944,12.063,1.900,9.036,0.219,100,6.350,0.157,0.439
77,20,715.400,270.300,12.819,1.986,98.816,0.192,100,6.453,0.155,0.471
78,4,719.000,262.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
