 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,116,811.259,109.198,18.969,7.786,98.561,0.037,100,2.436,0.410,0.155
2,6,789.000,105.500,4.633,1.649,140.310,0.769,100,2.810,0.356,0.750
3,22,798.136,110.909,8.685,3.225,117.400,0.160,100,2.693,0.371,0.299
4,6,790.500,111.000,6.770,1.128,90.000,0.458,100,6.000,0.167,1.000
5,10,820.200,112.400,6.456,1.972,102.192,0.337,100,3.273,0.306,0.541
6,4,779.750,116.000,4.428,1.150,53.909,0.457,100,3.850,0.260,0.571
7,10,788.100,118.600,7.192,1.770,73.690,0.368,100,4.063,0.246,0.625
8,10,794.300,117.200,7.446,1.710,150.148,0.449,100,4.354,0.230,0.645
9,2,798.500,121.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
10,10,796.800,127.100,7.721,1.649,87.257,0.368,100,4.682,0.214,0.645
11,10,801.300,126.200,6.943,1.834,121.655,0.419,100,3.786,0.264,0.625
12,12,785.000,128.167,7.917,1.930,86.103,0.332,100,4.102,0.244,0.545
13,12,788.750,128.750,7.305,2.092,83.757,0.332,100,3.493,0.286,0.585
14,14,771.714,131.214,9.231,1.931,59.458,0.302,100,4.780,0.209,0.519
15,3,800.500,131.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
16,61,805.975,150.664,20.594,3.771,86.514,0.073,100,5.461,0.183,0.236
17,50,797.260,151.280,27.133,2.346,90.358,0.076,100,11.564,0.086,0.360
18,31,785.532,146.468,16.456,2.399,85.019,0.136,100,6.860,0.146,0.431
19,19,776.921,151.079,13.811,1.752,117.271,0.255,100,7.884,0.127,0.551
20,27,816.500,153.315,11.604,2.963,77.328,0.160,100,3.917,0.255,0.348
21,14,759.500,159.000,9.934,1.794,120.957,0.333,100,5.536,0.181,0.583
22,12,780.583,163.083,8.769,1.742,71.917,0.332,100,5.033,0.199,0.571
23,10,766.500,166.000,7.791,1.634,161.392,0.419,100,4.767,0.210,0.625
24,19,756.289,167.921,7.664,3.156,3.979,0.255,100,2.428,0.412,0.396
25,6,774.000,167.500,6.770,1.128,0.000,0.503,100,6.000,0.167,1.000
26,2,778.500,169.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
27,19,767.026,175.026,13.668,1.770,59.540,0.255,100,7.722,0.129,0.567
28,9,781.722,173.278,7.326,1.564,104.527,0.416,100,4.683,0.214,0.643
29,11,776.318,174.318,7.201,1.945,69.240,0.371,100,3.703,0.270,0.564
30,5,801.500,173.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
31,23,792.891,180.891,14.611,2.004,55.466,0.206,100,7.289,0.137,0.474
32,14,806.643,179.286,9.215,1.934,95.196,0.275,100,4.764,0.210,0.583
33,12,757.583,178.917,6.795,2.249,142.953,0.332,100,3.022,0.331,0.490
34,8,779.000,179.500,6.024,1.691,28.155,0.520,100,3.563,0.281,0.667
35,10,784.400,182.100,8.273,1.539,99.232,0.368,100,5.376,0.186,0.606
