 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,1,817.500,69.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
2,1,819.500,70.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
3,16,815.375,76.875,10.075,2.022,63.889,0.276,100,4.983,0.201,0.516
4,6,809.500,80.000,4.633,1.649,129.690,0.686,100,2.810,0.356,0.750
5,14,815.357,86.000,8.359,2.133,173.084,0.251,100,3.920,0.255,0.452
6,21,802.595,92.786,11.333,2.359,157.313,0.213,100,4.804,0.208,0.447
7,21,820.262,110.881,13.469,1.985,88.120,0.153,100,6.785,0.147,0.442
8,27,800.611,105.019,13.753,2.500,162.237,0.149,100,5.502,0.182,0.386
9,2,782.000,113.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
10,19,805.447,121.711,6.922,3.495,114.881,0.220,100,1.981,0.505,0.362
11,28,798.321,131.250,8.017,4.447,123.157,0.177,100,1.803,0.555,0.313
12,19,810.921,131.921,11.245,2.151,48.937,0.255,100,5.227,0.191,0.458
13,60,783.917,143.667,12.100,6.313,112.468,0.104,100,1.917,0.522,0.223
14,13,766.808,138.885,9.454,1.751,43.287,0.363,100,5.400,0.185,0.591
15,10,804.600,142.100,6.638,1.918,64.818,0.419,100,3.460,0.289,0.588
16,9,819.500,144.500,7.165,1.599,22.500,0.447,100,4.480,0.223,0.692
17,10,762.400,150.100,6.638,1.918,115.182,0.419,100,3.460,0.289,0.588
18,49,813.520,162.867,13.645,4.572,67.092,0.100,100,2.984,0.335,0.214
19,13,771.577,154.423,9.744,1.699,164.486,0.286,100,5.737,0.174,0.591
20,4,764.000,155.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
21,11,787.591,160.591,9.105,1.538,77.337,0.329,100,5.919,0.169,0.629
22,6,759.000,157.500,6.770,1.128,0.000,0.503,100,6.000,0.167,1.000
23,13,777.962,163.038,11.767,1.407,97.122,0.248,100,8.365,0.120,0.703
24,2,754.500,159.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
25,19,763.289,163.921,5.981,4.045,63.297,0.205,100,1.478,0.676,0.404
26,7,744.357,180.643,5.244,1.699,121.985,0.564,100,3.086,0.324,0.700
27,43,770.360,193.198,15.367,3.563,91.291,0.105,100,4.313,0.232,0.253
28,21,753.976,181.976,13.392,1.997,17.219,0.187,100,6.708,0.149,0.488
29,5,800.500,182.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
30,30,741.300,192.633,11.023,3.465,96.524,0.140,100,3.181,0.314,0.308
31,10,752.200,202.700,6.943,1.834,31.655,0.449,100,3.786,0.264,0.625
32,7,738.500,204.500,7.899,1.128,0.000,0.434,100,7.000,0.143,1.000
33,6,745.167,205.333,5.208,1.467,172.534,0.555,100,3.550,0.282,0.750
34,31,752.887,218.113,19.180,2.058,101.662,0.125,100,9.320,0.107,0.405
35,24,791.417,212.625,10.322,2.960,120.444,0.142,100,3.487,0.287,0.281
36,14,723.500,215.000,7.874,2.264,51.366,0.302,100,3.478,0.287,0.467
37,2,718.000,220.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
38,10,726.100,228.400,6.638,1.918,154.818,0.419,100,3.460,0.289,0.588
39,45,740.567,240.078,14.154,4.048,127.762,0.106,100,3.497,0.286,0.256
