 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,1,819.500,67.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
2,4,818.750,70.750,3.192,1.596,108.435,0.857,100,2.000,0.500,0.800
3,20,819.050,91.550,17.021,1.496,83.771,0.170,100,11.378,0.088,0.597
4,13,802.192,89.808,8.477,1.953,165.275,0.301,100,4.342,0.230,0.531
5,2,820.500,102.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
6,27,813.167,110.167,19.603,1.754,60.448,0.183,100,11.178,0.089,0.535
7,56,779.964,131.268,11.060,6.446,57.272,0.076,100,1.716,0.583,0.167
8,13,800.962,118.038,11.767,1.407,172.878,0.260,100,8.365,0.120,0.703
9,5,821.500,121.500,5.642,1.128,90.000,0.536,100,5.000,0.200,1.000
10,31,802.758,130.694,14.921,2.645,63.996,0.143,100,5.641,0.177,0.343
11,1,765.500,138.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
12,7,764.500,154.500,7.899,1.128,90.000,0.400,100,7.000,0.143,1.000
13,144,775.562,176.569,18.023,10.173,133.030,0.031,100,1.772,0.564,0.140
14,4,803.750,164.250,3.192,1.596,71.565,0.857,100,2.000,0.500,0.800
15,48,750.125,182.917,10.285,5.942,52.931,0.094,100,1.731,0.578,0.196
16,32,756.812,202.188,8.311,4.902,57.857,0.116,100,1.695,0.590,0.251
17,28,783.893,209.107,12.008,2.969,35.548,0.164,100,4.044,0.247,0.350
18,16,796.250,207.000,6.339,3.214,90.000,0.216,100,1.972,0.507,0.400
19,100,740.000,229.240,16.617,7.662,117.941,0.040,100,2.169,0.461,0.197
20,9,721.056,221.944,7.880,1.454,169.375,0.388,100,5.419,0.185,0.720
21,6,728.000,224.500,4.633,1.649,140.310,0.769,100,2.810,0.356,0.750
22,29,785.086,230.672,8.396,4.398,52.989,0.146,100,1.909,0.524,0.266
23,4,713.500,229.000,4.514,1.128,90.000,0.645,100,4.000,0.250,1.000
24,17,732.029,233.382,10.106,2.142,103.199,0.235,100,4.719,0.212,0.531
25,40,724.475,246.675,8.508,5.986,96.425,0.106,100,1.421,0.704,0.245
26,24,755.667,245.500,7.047,4.336,7.538,0.212,100,1.625,0.615,0.366
27,4,705.000,243.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
28,11,704.227,255.773,8.328,1.682,135.000,0.480,100,4.952,0.202,0.710
29,6,698.333,259.167,4.606,1.658,119.233,0.686,100,2.778,0.360,0.706
30,17,731.147,259.147,13.893,1.558,8.886,0.210,100,8.917,0.112,0.607
31,18,715.111,260.278,14.137,1.621,0.594,0.197,100,8.720,0.115,0.692
32,6,703.500,261.000,5.025,1.520,17.609,0.615,100,3.306,0.302,0.750
33,10,697.200,264.700,6.560,1.941,21.731,0.368,100,3.380,0.296,0.556
34,47,738.117,277.479,13.047,4.587,54.715,0.102,100,2.844,0.352,0.238
35,12,693.667,273.667,8.339,1.832,166.296,0.351,100,4.551,0.220,0.600
36,8,709.875,274.625,5.987,1.701,125.008,0.567,100,3.518,0.284,0.667
37,16,690.875,280.500,8.591,2.371,146.208,0.302,100,3.623,0.276,0.457
38,15,716.967,281.033,8.042,2.375,119.718,0.289,100,3.386,0.295,0.469
39,21,706.452,282.976,9.976,2.680,28.684,0.220,100,3.722,0.269,0.412
40,32,757.438,289.688,8.683,4.693,63.558,0.160,100,1.850,0.540,0.296
41,21,722.548,293.452,9.121,2.931,3.552,0.244,100,3.112,0.321,0.462
42,16,708.000,297.500,12.100,1.684,12.303,0.225,100,7.187,0.139,0.571
43,13,718.577,301.423,9.487,1.745,107.445,0.301,100,5.437,0.184,0.578
44,1,672.500,300.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
45,3,671.167,303.500,3.213,1.189,61.845,0.643,100,2.702,0.370,0.667
46,21,680.548,305.452,11.115,2.405,154.952,0.193,100,4.621,0.216,0.412
47,15,695.233,304.233,10.908,1.751,22.770,0.289,100,6.230,0.161,0.545
48,20,693.900,313.600,6.758,3.768,163.285,0.192,100,1.794,0.558,0.333
49,9,660.944,331.944,6.961,1.646,15.715,0.416,100,4.229,0.236,0.643
50,17,692.441,337.441,10.123,2.138,46.459,0.276,100,4.734,0.211,0.472
51,59,667.839,353.432,19.184,3.916,69.954,0.079,100,4.899,0.204,0.252
