 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,14,819.143,82.643,9.275,1.922,96.785,0.275,100,4.826,0.207,0.549
2,18,809.333,86.167,9.026,2.539,132.512,0.236,100,3.554,0.281,0.409
3,7,817.500,91.500,7.899,1.128,0.000,0.434,100,7.000,0.143,1.000
4,7,795.071,95.929,5.957,1.496,104.089,0.472,100,3.982,0.251,0.737
5,35,807.386,103.871,13.277,3.356,48.504,0.131,100,3.956,0.253,0.287
6,10,780.700,117.200,8.868,1.436,84.552,0.325,100,6.176,0.162,0.714
7,4,808.000,113.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
8,5,804.100,116.100,4.076,1.562,69.006,0.674,100,2.610,0.383,0.769
9,12,797.000,117.500,9.003,1.697,162.796,0.314,100,5.306,0.188,0.600
10,13,801.808,123.808,9.970,1.660,64.158,0.333,100,6.005,0.167,0.650
11,5,821.500,121.500,5.642,1.128,90.000,0.536,100,5.000,0.200,1.000
12,13,779.731,127.269,9.576,1.728,165.556,0.286,100,5.540,0.181,0.591
13,2,772.000,128.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
14,1,768.500,133.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
15,38,808.974,145.474,23.822,2.031,61.090,0.121,100,11.729,0.085,0.409
16,2,767.000,136.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
17,18,778.056,139.222,8.219,2.788,18.912,0.288,100,2.948,0.339,0.439
18,1,765.500,138.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
19,7,788.500,140.500,7.899,1.128,0.000,0.434,100,7.000,0.143,1.000
20,12,784.583,145.917,8.417,1.815,112.795,0.332,100,4.637,0.216,0.585
21,15,794.367,148.367,9.416,2.028,20.066,0.276,100,4.642,0.215,0.500
22,17,763.676,154.324,9.717,2.228,130.006,0.276,100,4.362,0.229,0.466
23,6,787.333,153.833,5.208,1.467,82.534,0.555,100,3.550,0.282,0.750
24,9,783.278,159.278,6.825,1.679,45.000,0.565,100,4.065,0.246,0.720
25,21,789.738,163.357,8.815,3.033,88.575,0.206,100,2.906,0.344,0.382
26,13,774.577,160.423,9.744,1.699,164.486,0.286,100,5.737,0.174,0.591
27,25,767.020,168.740,15.025,2.118,96.586,0.164,100,7.092,0.141,0.459
28,16,753.625,165.625,7.001,2.910,60.064,0.276,100,2.406,0.416,0.416
29,93,775.780,196.048,26.133,4.531,82.616,0.049,100,5.767,0.173,0.180
30,54,798.648,202.000,24.361,2.822,73.008,0.076,100,8.631,0.116,0.271
31,18,752.944,188.444,10.608,2.161,24.303,0.227,100,4.910,0.204,0.450
32,30,745.967,205.933,7.800,4.897,53.893,0.124,100,1.593,0.628,0.280
33,2,729.500,202.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
34,8,754.000,208.500,6.110,1.667,47.855,0.567,100,3.665,0.273,0.727
35,46,758.196,227.891,19.010,3.081,115.709,0.087,100,6.170,0.162,0.279
36,27,721.426,225.278,13.978,2.459,45.565,0.183,100,5.684,0.176,0.386
37,12,766.250,222.250,8.823,1.732,127.639,0.419,100,5.095,0.196,0.632
38,3,768.833,227.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
39,14,785.071,237.643,9.899,1.801,107.864,0.257,100,5.497,0.182,0.500
40,16,712.688,239.812,11.782,1.729,148.273,0.302,100,6.814,0.147,0.593
41,9,729.389,239.389,6.702,1.710,66.124,0.416,100,3.920,0.255,0.643
42,47,748.266,247.032,11.936,5.014,173.188,0.093,100,2.381,0.420,0.237
43,8,723.000,243.500,9.027,1.128,0.000,0.381,100,8.000,0.125,1.000
44,51,722.304,260.931,27.781,2.337,114.358,0.091,100,11.886,0.084,0.347
45,8,730.500,246.000,6.110,1.667,137.855,0.621,100,3.665,0.273,0.727
46,9,734.167,252.833,6.491,1.765,110.118,0.416,100,3.677,0.272,0.643
47,5,704.500,254.500,5.642,1.128,90.000,0.536,100,5.000,0.200,1.000
48,42,749.190,262.452,14.655,3.649,152.846,0.093,100,4.016,0.249,0.276
49,11,735.136,261.136,7.113,1.969,61.300,0.371,100,3.612,0.277,0.550
50,3,698.167,258.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
51,5,701.900,258.900,4.076,1.562,20.994,0.764,100,2.610,0.383,0.769
52,27,710.130,266.500,9.538,3.604,133.249,0.149,100,2.646,0.378,0.302
53,20,696.000,267.500,10.454,2.436,44.547,0.220,100,4.291,0.233,0.426
54,56,699.464,280.607,11.918,5.982,6.163,0.074,100,1.992,0.502,0.256
55,24,744.958,278.375,10.293,2.969,143.398,0.173,100,3.467,0.288,0.338
56,22,760.091,282.773,7.303,3.835,29.424,0.206,100,1.904,0.525,0.358
57,7,734.500,279.500,7.899,1.128,0.000,0.434,100,7.000,0.143,1.000
58,6,741.167,280.333,5.208,1.467,172.534,0.555,100,3.550,0.282,0.750
59,34,718.529,283.882,11.195,3.867,15.299,0.107,100,2.895,0.345,0.237
60,2,752.500,286.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
61,39,676.910,304.731,12.146,4.088,58.581,0.113,100,2.971,0.337,0.238
62,17,704.382,296.382,9.789,2.211,32.248,0.265,100,4.427,0.226,0.459
63,6,712.167,295.333,4.387,1.742,122.243,0.686,100,2.519,0.397,0.706
64,23,730.630,299.630,11.235,2.606,61.424,0.188,100,4.311,0.232,0.348
65,13,719.654,299.577,5.793,2.857,133.548,0.267,100,2.027,0.493,0.413
66,14,714.286,302.643,5.743,3.104,130.629,0.275,100,1.850,0.541,0.431
67,5,721.900,306.100,4.076,1.562,159.006,0.764,100,2.610,0.383,0.769
68,27,722.426,315.870,9.892,3.475,73.473,0.164,100,2.846,0.351,0.360
69,13,751.654,308.731,6.435,2.572,4.419,0.393,100,2.501,0.400,0.542
70,4,758.000,308.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
71,5,745.300,312.300,3.833,1.661,45.000,0.873,100,2.308,0.433,0.769
72,18,753.111,314.611,6.305,3.635,175.421,0.255,100,1.735,0.576,0.409
73,15,664.033,320.167,10.609,1.800,30.746,0.283,100,5.893,0.170,0.508
74,8,672.500,319.000,5.802,1.756,162.504,0.479,100,3.305,0.303,0.640
75,24,676.917,324.167,7.941,3.848,15.894,0.206,100,2.064,0.485,0.358
76,19,699.289,324.816,11.267,2.147,10.178,0.212,100,5.247,0.191,0.447
77,12,662.250,328.250,8.136,1.878,137.503,0.419,100,4.333,0.231,0.585
78,8,688.000,327.500,9.027,1.128,0.000,0.381,100,8.000,0.125,1.000
79,8,681.875,331.375,6.884,1.480,78.690,0.410,100,4.653,0.215,0.727
80,15,694.967,334.033,6.607,2.890,148.440,0.232,100,2.286,0.437,0.390
81,23,667.761,337.413,5.872,4.987,28.991,0.197,100,1.177,0.849,0.474
82,14,676.357,341.143,8.844,2.015,138.284,0.333,100,4.388,0.228,0.528
83,28,684.929,347.429,11.912,2.993,42.497,0.142,100,3.980,0.251,0.299
84,5,657.500,343.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
85,46,693.370,366.174,10.898,5.374,81.470,0.109,100,2.028,0.493,0.262
86,54,672.370,369.500,15.058,4.566,91.923,0.089,100,3.298,0.303,0.252
87,13,710.577,368.269,7.114,2.327,82.118,0.310,100,3.058,0.327,0.456
88,43,632.965,383.709,12.178,4.496,65.209,0.104,100,2.709,0.369,0.254
89,59,654.907,401.398,18.986,3.957,49.539,0.084,100,4.799,0.208,0.245
90,27,636.315,408.833,15.097,2.277,109.713,0.156,100,6.630,0.151,0.360
91,3,677.500,405.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
92,13,670.577,411.423,7.510,2.204,135.000,0.333,100,3.408,0.293,0.491
93,37,657.203,421.122,16.052,2.935,80.911,0.117,100,5.470,0.183,0.292
94,44,637.318,430.909,15.644,3.581,57.583,0.102,100,4.368,0.229,0.249
95,2,664.000,434.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
96,14,646.571,437.071,8.344,2.136,29.944,0.317,100,3.906,0.256,0.483
97,7,653.071,439.071,5.957,1.496,75.911,0.472,100,3.982,0.251,0.737
98,13,599.731,443.115,9.028,1.833,101.867,0.301,100,4.924,0.203,0.578
99,19,621.447,447.553,13.273,1.823,106.632,0.220,100,7.282,0.137,0.481
100,11,639.955,444.955,6.541,2.141,13.887,0.295,100,3.055,0.327,0.512
101,7,647.500,442.500,7.899,1.128,0.000,0.434,100,7.000,0.143,1.000
102,10,656.300,444.200,7.712,1.651,162.620,0.392,100,4.671,0.214,0.645
103,16,630.438,450.938,11.530,1.767,46.883,0.332,100,6.526,0.153,0.615
104,3,590.833,448.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
105,5,595.500,448.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
106,13,601.269,453.731,9.202,1.799,121.633,0.333,100,5.116,0.195,0.591
107,14,593.857,455.643,10.064,1.771,111.892,0.275,100,5.682,0.176,0.571
108,13,652.423,456.423,7.082,2.337,69.149,0.286,100,3.030,0.330,0.464
109,22,624.364,464.318,12.613,2.221,81.867,0.182,100,5.680,0.176,0.423
110,28,613.393,464.107,15.419,2.312,139.472,0.173,100,6.669,0.150,0.389
111,9,600.500,460.500,7.165,1.599,22.500,0.447,100,4.480,0.223,0.692
112,76,603.158,478.474,13.588,7.121,119.483,0.059,100,1.908,0.524,0.188
113,53,569.613,484.500,11.250,5.999,121.124,0.079,100,1.875,0.533,0.182
114,46,619.348,490.239,19.002,3.082,76.739,0.093,100,6.165,0.162,0.240
115,13,598.423,482.577,8.455,1.958,119.542,0.333,100,4.319,0.232,0.531
116,17,592.559,490.441,11.274,1.920,165.649,0.226,100,5.872,0.170,0.523
117,15,586.833,497.167,10.967,1.742,101.243,0.232,100,6.297,0.159,0.577
118,20,551.850,501.950,9.005,2.828,75.224,0.213,100,3.184,0.314,0.412
119,46,595.609,509.674,18.457,3.173,61.583,0.105,100,5.816,0.172,0.267
120,5,578.100,505.100,4.076,1.562,69.006,0.674,100,2.610,0.383,0.769
121,14,569.857,505.786,11.666,1.528,165.030,0.246,100,7.634,0.131,0.571
122,22,580.364,516.136,15.151,1.849,115.098,0.206,100,8.195,0.122,0.500
123,14,610.286,519.357,7.282,2.448,6.161,0.302,100,2.975,0.336,0.459
124,14,543.857,527.500,7.358,2.423,139.087,0.333,100,3.037,0.329,0.475
125,73,566.212,530.459,12.013,7.737,38.804,0.060,100,1.553,0.644,0.271
126,17,584.618,532.029,13.047,1.659,80.189,0.192,100,7.864,0.127,0.523
127,17,594.324,531.382,6.528,3.316,70.241,0.245,100,1.969,0.508,0.395
128,10,540.800,538.300,7.712,1.651,72.620,0.368,100,4.671,0.214,0.645
129,8,598.250,539.250,5.951,1.712,146.417,0.567,100,3.477,0.288,0.667
130,10,590.800,539.300,8.868,1.436,5.448,0.346,100,6.176,0.162,0.714
131,4,536.250,541.250,3.192,1.596,161.565,0.857,100,2.000,0.500,0.800
132,16,553.812,545.312,11.962,1.703,60.824,0.276,100,7.024,0.142,0.604
133,15,584.433,545.833,9.801,1.949,100.403,0.253,100,5.029,0.199,0.556
134,9,540.611,545.389,6.553,1.749,128.999,0.565,100,3.747,0.267,0.643
135,45,530.589,561.944,13.733,4.172,124.672,0.100,100,3.292,0.304,0.217
136,13,538.346,552.346,6.579,2.516,45.000,0.301,100,2.615,0.382,0.464
137,8,545.625,550.875,5.987,1.701,144.992,0.621,100,3.518,0.284,0.667
138,2,550.000,552.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
139,41,556.451,564.500,19.666,2.655,92.052,0.102,100,7.408,0.135,0.331
140,24,546.167,563.667,16.944,1.803,72.893,0.163,100,9.395,0.106,0.495
141,8,511.250,573.250,4.514,2.257,149.036,0.410,100,2.000,0.500,0.571
142,19,547.237,579.658,9.311,2.598,153.396,0.183,100,3.583,0.279,0.355
143,32,528.219,585.812,8.526,4.779,115.857,0.116,100,1.784,0.561,0.269
144,23,561.804,588.196,16.036,1.826,132.373,0.234,100,8.781,0.114,0.541
145,13,570.654,587.269,9.060,1.827,82.761,0.255,100,4.960,0.202,0.565
146,5,501.700,586.700,4.183,1.522,10.901,0.764,100,2.749,0.364,0.769
147,2,498.000,587.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
148,2,495.000,589.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
149,7,500.071,591.929,5.052,1.764,113.296,0.564,100,2.863,0.349,0.667
150,21,550.452,597.500,7.991,3.346,72.248,0.220,100,2.388,0.419,0.362
151,6,506.000,594.500,6.770,1.128,0.000,0.503,100,6.000,0.167,1.000
152,7,570.786,596.214,5.325,1.674,135.000,0.687,100,3.182,0.314,0.737
153,36,507.000,605.556,12.759,3.593,140.375,0.117,100,3.551,0.282,0.238
154,18,528.333,602.833,10.885,2.105,91.910,0.219,100,5.170,0.193,0.493
155,27,535.204,603.796,9.204,3.735,94.059,0.178,100,2.464,0.406,0.298
156,1,486.500,599.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
157,33,530.288,624.106,21.082,1.993,97.706,0.116,100,10.578,0.095,0.478
158,25,551.260,622.980,13.240,2.404,161.310,0.171,100,5.507,0.182,0.394
159,25,480.420,625.020,9.258,3.438,0.707,0.212,100,2.693,0.371,0.388
160,30,523.800,633.900,11.235,3.400,120.721,0.149,100,3.304,0.303,0.296
161,24,539.333,636.583,8.809,3.469,54.905,0.155,100,2.539,0.394,0.306
162,45,470.433,646.100,23.078,2.483,88.739,0.096,100,9.296,0.108,0.352
163,11,553.955,633.045,7.802,1.795,146.761,0.448,100,4.346,0.230,0.611
164,41,517.890,649.134,11.441,4.563,108.720,0.108,100,2.507,0.399,0.212
165,8,497.000,644.500,6.024,1.691,28.155,0.520,100,3.563,0.281,0.667
166,32,483.906,653.406,18.535,2.198,37.787,0.167,100,8.432,0.119,0.413
167,12,496.167,651.333,8.789,1.738,115.536,0.332,100,5.056,0.198,0.600
168,3,474.500,663.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
169,45,501.678,670.522,8.346,6.865,77.330,0.090,100,1.216,0.823,0.245
170,10,486.000,670.500,8.861,1.437,80.410,0.325,100,6.167,0.162,0.714
171,18,494.889,685.833,5.336,4.295,89.465,0.224,100,1.242,0.805,0.419
172,34,482.265,689.000,8.652,5.004,84.975,0.137,100,1.729,0.578,0.395
173,3,499.500,684.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
174,19,501.500,694.447,10.643,2.273,89.295,0.205,100,4.682,0.214,0.514
175,15,490.700,695.700,7.808,2.446,35.173,0.276,100,3.192,0.313,0.435
176,2,514.500,697.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
177,56,482.357,718.857,23.554,3.027,100.516,0.070,100,7.781,0.129,0.233
178,22,491.318,703.545,9.574,2.926,174.255,0.220,100,3.272,0.306,0.393
179,27,453.759,714.611,17.655,1.947,72.657,0.132,100,9.067,0.110,0.406
