 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,12,817.333,79.833,8.524,1.792,59.212,0.372,100,4.756,0.210,0.600
2,8,806.625,82.875,4.754,2.142,136.659,0.479,100,2.219,0.451,0.571
3,4,812.000,84.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
4,12,812.417,87.833,5.364,2.849,10.922,0.301,100,1.883,0.531,0.444
5,50,806.780,104.840,11.731,5.427,67.364,0.093,100,2.162,0.463,0.230
6,13,795.962,98.038,8.978,1.844,125.337,0.371,100,4.870,0.205,0.578
7,10,786.200,107.700,5.552,2.293,47.872,0.368,100,2.421,0.413,0.541
8,14,821.143,118.500,11.604,1.536,84.961,0.251,100,7.553,0.132,0.683
9,1,780.500,114.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
10,5,775.500,126.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
11,33,809.712,141.712,19.300,2.177,60.213,0.143,100,8.865,0.113,0.398
12,28,784.500,139.964,11.851,3.008,152.766,0.139,100,3.939,0.254,0.326
13,40,774.600,152.925,11.255,4.525,79.229,0.103,100,2.487,0.402,0.248
14,16,784.750,148.750,10.102,2.017,117.713,0.276,100,5.009,0.200,0.508
15,16,762.562,153.938,10.909,1.867,121.946,0.302,100,5.842,0.171,0.533
16,57,777.939,175.447,23.089,3.143,72.285,0.080,100,7.345,0.136,0.259
17,27,789.611,163.167,10.121,3.397,74.929,0.178,100,2.980,0.336,0.358
18,18,766.111,168.389,16.535,1.386,94.767,0.178,100,11.930,0.084,0.692
19,26,753.846,188.808,10.314,3.210,8.662,0.156,100,3.213,0.311,0.361
20,10,784.700,193.200,7.301,1.744,36.745,0.519,100,4.186,0.239,0.645
21,7,765.071,192.929,5.957,1.496,165.911,0.515,100,3.982,0.251,0.737
22,14,756.857,196.357,9.253,1.926,32.785,0.333,100,4.803,0.208,0.538
23,25,771.060,203.660,13.509,2.356,108.846,0.183,100,5.733,0.174,0.450
24,18,796.778,203.278,10.047,2.281,60.008,0.236,100,4.405,0.227,0.450
25,1,728.500,203.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
26,14,754.857,207.357,8.914,2.000,16.771,0.288,100,4.458,0.224,0.538
27,11,744.591,209.773,8.681,1.613,2.262,0.329,100,5.380,0.186,0.629
28,7,798.214,211.071,5.155,1.729,2.764,0.455,100,2.981,0.335,0.667
29,28,753.500,221.214,15.896,2.243,100.031,0.149,100,7.088,0.141,0.431
30,25,782.860,215.780,7.610,4.183,110.912,0.168,100,1.820,0.550,0.292
31,15,793.900,218.100,12.243,1.560,96.868,0.232,100,7.848,0.127,0.588
32,20,774.950,218.450,7.281,3.498,121.927,0.220,100,2.082,0.480,0.364
33,14,724.429,217.643,6.844,2.605,104.605,0.288,100,2.628,0.381,0.452
34,30,764.133,226.867,9.904,3.857,79.508,0.132,100,2.568,0.389,0.259
35,14,718.714,226.214,8.788,2.028,48.813,0.351,100,4.333,0.231,0.528
36,28,727.214,233.643,12.777,2.790,100.223,0.159,100,4.579,0.218,0.397
37,18,780.611,230.000,7.406,3.095,70.520,0.236,100,2.393,0.418,0.391
38,34,753.971,247.118,17.790,2.433,76.907,0.116,100,7.310,0.137,0.384
39,14,786.143,239.786,6.510,2.738,62.083,0.269,100,2.377,0.421,0.431
40,12,711.583,239.917,8.809,1.734,145.581,0.419,100,5.079,0.197,0.615
41,10,720.600,242.900,8.816,1.444,170.915,0.346,100,6.104,0.164,0.714
42,37,742.284,247.770,9.159,5.144,151.561,0.132,100,1.781,0.562,0.255
43,17,712.559,249.559,8.725,2.481,48.335,0.255,100,3.517,0.284,0.436
44,8,728.750,245.750,5.951,1.712,146.417,0.621,100,3.477,0.288,0.667
45,15,703.433,251.433,8.394,2.275,55.417,0.289,100,3.689,0.271,0.448
46,10,732.900,252.600,7.538,1.689,120.571,0.419,100,4.462,0.224,0.645
47,6,739.000,255.500,6.770,1.128,0.000,0.503,100,6.000,0.167,1.000
48,17,737.441,261.676,7.436,2.911,149.078,0.218,100,2.555,0.391,0.386
49,6,743.167,259.333,4.986,1.532,104.655,0.555,100,3.254,0.307,0.750
50,1,697.500,258.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
51,2,700.000,258.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
52,20,704.350,263.150,6.541,3.893,70.457,0.199,100,1.680,0.595,0.348
53,23,723.022,265.978,15.804,1.853,112.796,0.182,100,8.529,0.117,0.500
54,7,697.786,262.786,5.930,1.503,79.178,0.472,100,3.946,0.253,0.737
55,6,747.667,262.167,4.986,1.532,14.655,0.615,100,3.254,0.307,0.750
56,23,756.152,267.848,12.465,2.349,124.237,0.194,100,5.305,0.188,0.430
57,10,694.000,268.600,7.464,1.706,16.537,0.358,100,4.375,0.229,0.526
58,14,714.000,273.500,7.920,2.251,120.460,0.302,100,3.519,0.284,0.475
59,31,742.048,276.048,20.350,1.940,18.482,0.133,100,10.492,0.095,0.434
60,59,706.517,284.178,10.296,7.296,80.174,0.071,100,1.411,0.709,0.268
61,9,721.389,277.389,7.268,1.577,19.219,0.447,100,4.609,0.217,0.667
62,5,727.300,277.700,3.833,1.661,135.000,0.873,100,2.308,0.433,0.769
63,16,689.750,281.500,8.867,2.297,116.112,0.302,100,3.860,0.259,0.485
