 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,9,34.611,1.167,6.771,1.692,176.579,0.447,100,4.000,0.250,0.667
2,7,46.500,1.214,5.205,1.712,0.000,0.564,100,3.039,0.329,0.700
3,33,60.045,11.076,13.339,3.150,78.263,0.143,100,4.235,0.236,0.296
4,7,83.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
5,37,100.743,2.230,17.357,2.714,0.400,0.119,100,6.395,0.156,0.378
6,7,118.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
7,7,124.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
8,3,152.833,1.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
9,4,156.000,1.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
10,4,173.500,1.000,3.216,1.583,148.283,1.000,100,2.031,0.492,0.800
11,3,176.833,0.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
12,7,182.643,1.071,4.903,1.818,173.868,0.621,100,2.697,0.371,0.737
13,12,191.333,4.167,8.329,1.834,108.145,0.332,100,4.540,0.220,0.558
14,15,204.767,1.567,10.095,1.892,178.000,0.276,100,5.336,0.187,0.517
15,8,236.625,1.875,5.987,1.701,144.992,0.621,100,3.518,0.284,0.667
16,7,242.214,2.214,5.325,1.674,45.000,0.687,100,3.182,0.314,0.737
17,9,262.611,1.611,7.320,1.565,11.559,0.416,100,4.676,0.214,0.621
18,27,307.833,7.167,13.509,2.545,134.349,0.178,100,5.308,0.188,0.380
19,8,318.750,2.250,5.388,1.890,45.000,0.567,100,2.850,0.351,0.615
20,11,329.591,1.227,8.681,1.613,177.738,0.349,100,5.380,0.186,0.629
21,12,353.083,1.750,7.051,2.167,178.125,0.372,100,3.254,0.307,0.533
22,6,363.000,1.500,4.633,1.649,140.310,0.769,100,2.810,0.356,0.750
23,4,367.000,1.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
24,6,385.500,2.000,4.633,1.649,129.690,0.686,100,2.810,0.356,0.750
25,7,398.500,1.500,5.499,1.621,28.155,0.621,100,3.393,0.295,0.700
26,15,411.167,1.900,10.050,1.900,5.905,0.264,100,5.288,0.189,0.536
27,23,427.065,2.500,12.310,2.379,11.783,0.170,100,5.175,0.193,0.380
28,6,500.667,1.833,4.387,1.742,147.757,0.686,100,2.519,0.397,0.706
29,4,505.000,1.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
30,9,550.056,2.056,6.588,1.740,27.421,0.482,100,3.787,0.264,0.621
31,15,565.300,1.700,12.983,1.471,173.752,0.232,100,8.826,0.113,0.588
32,3,574.167,1.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
33,5,588.300,1.700,3.833,1.661,135.000,0.873,100,2.308,0.433,0.769
34,4,592.000,1.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
35,2,610.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
36,4,613.500,1.000,3.216,1.583,31.717,1.000,100,2.031,0.492,0.800
37,4,617.250,1.250,3.192,1.596,108.435,0.857,100,2.000,0.500,0.800
38,10,623.100,1.600,8.193,1.554,15.436,0.392,100,5.272,0.190,0.645
39,12,642.583,2.917,8.809,1.734,145.581,0.419,100,5.079,0.197,0.615
40,8,669.125,1.625,6.300,1.617,24.495,0.520,100,3.896,0.257,0.696
41,6,677.000,1.167,4.224,1.809,0.000,0.686,100,2.335,0.428,0.750
42,16,689.000,3.500,7.835,2.600,131.995,0.265,100,3.013,0.332,0.416
43,3,704.500,1.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
44,11,718.318,3.318,8.489,1.650,127.510,0.361,100,5.146,0.194,0.579
45,28,734.000,5.036,8.307,4.291,64.146,0.165,100,1.936,0.517,0.327
46,4,767.250,1.250,3.192,1.596,161.565,0.857,100,2.000,0.500,0.800
47,3,770.833,0.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
48,14,659.357,2.143,9.275,1.922,6.785,0.288,100,4.826,0.207,0.549
49,55,28.318,18.445,19.980,3.505,105.602,0.077,100,5.701,0.175,0.210
50,9,391.722,2.944,6.683,1.715,6.207,0.416,100,3.898,0.257,0.692
51,14,580.714,5.500,4.990,3.572,68.749,0.317,100,1.397,0.716,0.491
52,6,152.667,5.167,4.606,1.658,60.767,0.686,100,2.778,0.360,0.706
53,12,167.167,4.333,7.272,2.101,4.800,0.351,100,3.461,0.289,0.600
54,22,177.091,11.864,13.907,2.014,96.669,0.182,100,6.904,0.145,0.478
55,7,574.500,5.500,5.499,1.621,118.155,0.564,100,3.393,0.295,0.700
56,7,612.929,5.071,4.681,1.904,162.231,0.472,100,2.458,0.407,0.636
57,15,709.967,6.367,6.607,2.891,109.297,0.276,100,2.286,0.438,0.429
58,30,774.767,12.333,11.897,3.211,104.848,0.116,100,3.705,0.270,0.314
