 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,71,2.500,28.458,28.365,3.187,91.499,0.058,100,8.900,0.112,0.214
2,6,18.833,1.000,3.995,1.912,9.462,0.686,100,2.089,0.479,0.800
3,14,34.286,2.786,9.612,1.855,13.545,0.275,100,5.183,0.193,0.528
4,5,51.700,1.300,3.833,1.661,135.000,0.873,100,2.308,0.433,0.769
5,6,56.333,1.833,4.387,1.742,32.243,0.686,100,2.519,0.397,0.706
6,8,65.000,2.500,6.110,1.667,132.145,0.567,100,3.665,0.273,0.727
7,12,71.833,2.333,9.206,1.660,27.159,0.394,100,5.547,0.180,0.649
8,18,85.778,6.056,9.031,2.538,88.502,0.236,100,3.559,0.281,0.486
9,23,106.848,2.065,13.222,2.215,4.863,0.182,100,5.969,0.168,0.430
10,3,156.833,1.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
11,4,160.000,1.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
12,5,167.300,1.700,3.833,1.661,135.000,0.873,100,2.308,0.433,0.769
13,2,179.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
14,7,183.929,0.929,5.957,1.496,14.089,0.515,100,3.982,0.251,0.737
15,3,190.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
16,6,197.000,1.167,4.224,1.809,0.000,0.686,100,2.335,0.428,0.750
17,7,211.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
18,4,229.000,0.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
19,7,234.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
20,16,243.750,4.750,10.212,1.995,114.900,0.276,100,5.119,0.195,0.508
21,8,266.250,1.750,5.951,1.712,33.583,0.621,100,3.477,0.288,0.667
22,27,292.463,3.500,7.947,4.326,167.423,0.191,100,1.837,0.544,0.412
23,11,310.500,1.409,5.589,2.506,0.000,0.448,100,2.230,0.448,0.647
24,4,332.000,0.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
25,54,346.648,5.333,19.767,3.478,18.018,0.096,100,5.683,0.176,0.303
26,4,368.000,1.500,3.216,1.583,121.717,0.857,100,2.031,0.492,0.800
27,4,371.500,1.000,3.216,1.583,31.717,1.000,100,2.031,0.492,0.800
28,7,379.357,1.071,4.903,1.818,6.132,0.564,100,2.697,0.371,0.737
29,3,389.500,1.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
30,10,394.500,2.000,7.796,1.633,27.344,0.449,100,4.773,0.210,0.667
31,26,408.731,1.385,16.545,2.001,1.254,0.160,100,8.269,0.121,0.520
32,7,432.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
33,7,449.357,2.643,6.247,1.427,95.512,0.472,100,4.378,0.228,0.737
34,45,518.322,6.233,17.849,3.210,163.941,0.107,100,5.560,0.180,0.280
35,6,526.000,1.167,4.224,1.809,0.000,0.686,100,2.335,0.428,0.750
36,2,532.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
37,19,539.868,3.132,7.149,3.384,135.729,0.228,100,2.113,0.473,0.369
38,15,552.367,3.367,9.470,2.017,160.120,0.238,100,4.696,0.213,0.469
39,6,564.833,1.000,3.995,1.912,9.462,0.686,100,2.089,0.479,0.800
40,8,575.875,1.625,6.300,1.617,155.505,0.520,100,3.896,0.257,0.696
41,4,581.000,1.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
42,3,593.167,0.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
43,4,596.500,1.000,3.216,1.583,31.717,1.000,100,2.031,0.492,0.800
44,41,624.305,12.744,14.079,3.708,101.384,0.123,100,3.797,0.263,0.249
45,2,637.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
46,51,652.892,8.853,14.319,4.535,136.334,0.085,100,3.157,0.317,0.221
47,4,659.000,1.500,3.216,1.583,121.717,0.857,100,2.031,0.492,0.800
48,4,662.000,1.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
49,12,670.583,4.083,8.875,1.722,64.061,0.372,100,5.155,0.194,0.600
50,7,716.786,1.786,5.325,1.674,45.000,0.687,100,3.182,0.314,0.737
51,15,739.300,2.100,7.260,2.630,3.726,0.333,100,2.760,0.362,0.500
52,3,749.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
53,5,774.900,1.900,4.076,1.562,69.006,0.674,100,2.610,0.383,0.769
54,3,795.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
55,13,821.500,5.115,7.222,2.292,80.449,0.333,100,3.151,0.317,0.531
56,27,725.759,8.796,10.320,3.331,76.191,0.165,100,3.098,0.323,0.300
57,39,164.936,13.167,14.830,3.348,146.049,0.117,100,4.429,0.226,0.260
58,23,181.978,10.674,11.194,2.616,92.784,0.206,100,4.279,0.234,0.484
59,15,257.967,5.367,7.974,2.395,29.813,0.350,100,3.330,0.300,0.517
60,13,371.962,8.038,10.227,1.618,108.753,0.301,100,6.319,0.158,0.605
61,2,533.500,4.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
62,9,594.500,7.500,10.155,1.128,90.000,0.319,100,9.000,0.111,1.000
63,19,706.500,5.500,9.444,2.562,28.934,0.212,100,3.687,0.271,0.376
64,29,45.121,9.569,7.613,4.850,69.898,0.148,100,1.570,0.637,0.275
65,79,106.259,16.373,24.997,4.024,32.079,0.056,100,6.212,0.161,0.177
66,11,386.682,6.682,6.545,2.140,58.593,0.394,100,3.058,0.327,0.524
67,26,584.692,11.192,8.633,3.835,141.148,0.156,100,2.251,0.444,0.295
68,6,661.500,6.000,4.633,1.649,129.690,0.686,100,2.810,0.356,0.750
69,21,764.929,12.071,15.547,1.720,111.592,0.206,100,9.040,0.111,0.532
70,12,263.417,9.917,8.417,1.815,67.205,0.332,100,4.637,0.216,0.585
71,4,423.500,7.000,4.514,1.128,90.000,0.645,100,4.000,0.250,1.000
72,29,565.431,10.259,6.717,5.497,69.828,0.135,100,1.222,0.818,0.289
73,17,716.265,11.735,10.726,2.018,115.985,0.255,100,5.315,0.188,0.507
74,28,63.536,15.607,14.992,2.378,68.473,0.164,100,6.305,0.159,0.431
75,16,311.250,7.500,9.532,2.137,5.319,0.265,100,4.460,0.224,0.500
76,13,417.885,9.423,6.275,2.638,155.507,0.301,100,2.379,0.420,0.481
77,8,536.625,7.875,6.184,1.647,160.624,0.479,100,3.755,0.266,0.667
78,6,558.500,9.000,6.770,1.128,90.000,0.458,100,6.000,0.167,1.000
79,23,605.630,14.804,9.892,2.961,53.701,0.165,100,3.341,0.299,0.307
80,20,679.150,13.550,9.579,2.658,83.668,0.220,100,3.604,0.277,0.430
81,37,13.041,21.230,15.372,3.065,83.581,0.121,100,5.016,0.199,0.354
82,3,665.500,8.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
