 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,5,1.500,1.500,3.732,1.706,31.717,0.873,100,2.188,0.457,0.714
2,2,25.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
3,3,28.167,1.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
4,36,64.944,11.444,14.842,3.088,74.101,0.117,100,4.806,0.208,0.261
5,3,115.167,0.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
6,7,120.214,1.214,5.930,1.503,10.822,0.515,100,3.946,0.253,0.737
7,8,162.000,1.500,6.365,1.600,159.183,0.520,100,3.977,0.251,0.667
8,3,167.167,1.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
9,20,189.100,1.800,14.849,1.715,176.360,0.192,100,8.658,0.115,0.556
10,5,199.700,1.700,3.833,1.661,45.000,0.873,100,2.308,0.433,0.769
11,9,248.056,3.056,5.984,1.915,72.535,0.416,100,3.125,0.320,0.600
12,3,255.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
13,6,271.000,1.167,4.224,1.809,0.000,0.686,100,2.335,0.428,0.750
14,7,311.357,1.071,4.903,1.818,6.132,0.564,100,2.697,0.371,0.737
15,6,317.167,1.000,3.995,1.912,170.538,0.686,100,2.089,0.479,0.800
16,6,325.833,1.000,3.995,1.912,9.462,0.686,100,2.089,0.479,0.800
17,3,332.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
18,2,338.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
19,3,346.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
20,2,353.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
21,6,376.000,1.500,4.633,1.649,140.310,0.769,100,2.810,0.356,0.750
22,2,411.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
23,12,421.333,1.750,5.106,2.993,7.161,0.363,100,1.706,0.586,0.571
24,7,428.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
25,9,466.167,1.833,6.905,1.660,152.348,0.521,100,4.161,0.240,0.667
26,6,471.500,2.000,4.633,1.649,50.310,0.686,100,2.810,0.356,0.750
27,5,481.500,0.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
28,7,489.214,1.786,5.325,1.674,135.000,0.687,100,3.182,0.314,0.737
29,5,497.300,1.700,4.183,1.522,100.901,0.674,100,2.749,0.364,0.769
30,17,526.971,3.029,7.603,2.847,144.040,0.245,100,2.670,0.374,0.391
31,7,537.500,1.214,5.205,1.712,0.000,0.564,100,3.039,0.329,0.700
32,19,549.553,3.237,11.457,2.112,165.955,0.220,100,5.426,0.184,0.463
33,21,566.071,1.214,14.487,1.846,3.381,0.187,100,7.849,0.127,0.553
34,6,581.500,2.000,4.633,1.649,129.690,0.686,100,2.810,0.356,0.750
35,6,590.500,2.000,4.633,1.649,50.310,0.686,100,2.810,0.356,0.750
36,7,597.643,1.071,4.903,1.818,173.868,0.621,100,2.697,0.371,0.737
37,6,634.833,1.000,3.995,1.912,9.462,0.686,100,2.089,0.479,0.800
38,3,680.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
39,7,695.500,1.214,5.205,1.712,0.000,0.564,100,3.039,0.329,0.700
40,6,708.000,1.167,4.224,1.809,0.000,0.686,100,2.335,0.428,0.750
41,25,721.220,7.380,9.008,3.534,107.441,0.156,100,2.549,0.392,0.307
42,5,733.500,0.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
43,6,755.000,1.167,4.224,1.809,0.000,0.686,100,2.335,0.428,0.750
44,12,797.000,1.167,9.106,1.678,0.000,0.314,100,5.427,0.184,0.632
45,18,655.500,3.000,13.675,1.676,166.930,0.211,100,8.160,0.123,0.537
46,6,38.333,4.833,5.208,1.467,82.534,0.555,100,3.550,0.282,0.750
47,23,97.978,7.978,13.647,2.146,31.144,0.194,100,6.360,0.157,0.422
48,34,508.824,13.206,15.044,2.878,99.788,0.137,100,5.228,0.191,0.311
49,41,621.622,5.866,15.050,3.469,161.532,0.120,100,4.339,0.230,0.315
50,42,2.976,18.810,20.829,2.567,85.305,0.091,100,8.113,0.123,0.288
51,5,26.500,5.500,5.642,1.128,90.000,0.536,100,5.000,0.200,1.000
52,12,113.833,6.333,8.154,1.874,45.417,0.419,100,4.351,0.230,0.571
53,57,136.570,15.675,13.918,5.214,92.655,0.080,100,2.669,0.375,0.179
54,3,166.833,4.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
55,14,384.714,4.357,9.477,1.881,169.585,0.288,100,5.038,0.198,0.609
56,38,448.842,10.500,12.872,3.759,48.130,0.117,100,3.425,0.292,0.270
57,4,586.000,3.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
58,24,178.417,5.833,12.669,2.412,171.936,0.168,100,5.253,0.190,0.429
59,28,193.679,15.679,19.321,1.845,69.489,0.133,100,10.471,0.096,0.434
60,26,282.769,8.269,15.095,2.193,25.952,0.188,100,6.883,0.145,0.437
61,32,369.688,9.312,9.029,4.513,11.698,0.136,100,2.001,0.500,0.277
