 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,3,2.167,0.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
2,3,5.167,1.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
3,9,13.500,1.611,4.688,2.444,0.000,0.521,100,1.918,0.521,0.643
4,18,27.222,2.500,6.964,3.291,174.920,0.300,100,2.116,0.473,0.480
5,6,37.000,1.500,4.633,1.649,140.310,0.769,100,2.810,0.356,0.750
6,2,55.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
7,5,59.100,1.100,4.076,1.562,20.994,0.764,100,2.610,0.383,0.769
8,5,64.500,1.500,3.732,1.706,121.717,0.873,100,2.188,0.457,0.714
9,9,69.833,1.833,6.905,1.660,27.652,0.521,100,4.161,0.240,0.667
10,9,77.278,1.722,7.015,1.633,159.321,0.447,100,4.295,0.233,0.667
11,8,84.875,1.375,6.383,1.596,14.973,0.520,100,4.000,0.250,0.640
12,42,88.190,7.452,10.191,5.247,43.001,0.085,100,1.942,0.515,0.246
13,2,99.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
14,20,125.800,5.300,13.147,1.937,41.412,0.254,100,6.788,0.147,0.500
15,46,143.087,9.848,13.871,4.222,46.203,0.097,100,3.285,0.304,0.245
16,3,177.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
17,16,185.000,2.500,12.107,1.683,19.724,0.265,100,7.195,0.139,0.561
18,6,215.833,1.000,3.995,1.912,9.462,0.686,100,2.089,0.479,0.800
19,5,241.900,1.100,4.076,1.562,159.006,0.764,100,2.610,0.383,0.769
20,2,245.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
21,9,262.389,1.167,6.771,1.692,3.421,0.416,100,4.000,0.250,0.667
22,10,271.500,2.000,7.231,1.761,158.156,0.449,100,4.107,0.243,0.588
23,9,279.611,1.611,7.268,1.577,19.219,0.447,100,4.609,0.217,0.667
24,2,302.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
25,2,304.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
26,3,328.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
27,6,360.833,1.667,4.606,1.658,150.767,0.686,100,2.778,0.360,0.706
28,16,371.062,1.562,14.168,1.438,3.563,0.216,100,9.853,0.101,0.561
29,8,437.000,1.000,5.449,1.869,0.000,0.520,100,2.915,0.343,0.727
30,4,444.500,2.000,4.514,1.128,90.000,0.645,100,4.000,0.250,1.000
31,11,450.409,2.409,7.342,1.908,26.819,0.394,100,3.849,0.260,0.595
32,11,465.409,1.227,8.681,1.613,2.262,0.329,100,5.380,0.186,0.629
33,4,507.000,1.500,3.216,1.583,121.717,0.857,100,2.031,0.492,0.800
34,5,510.300,1.300,3.833,1.661,45.000,0.873,100,2.308,0.433,0.769
35,3,514.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
36,8,519.500,2.000,6.110,1.667,137.855,0.621,100,3.665,0.273,0.727
37,8,552.750,2.750,5.841,1.744,115.264,0.479,100,3.349,0.299,0.667
38,6,567.833,1.667,4.606,1.658,150.767,0.686,100,2.778,0.360,0.706
39,3,572.167,1.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
40,7,582.214,2.214,5.414,1.646,65.953,0.564,100,3.288,0.304,0.700
41,18,595.111,3.944,7.158,3.202,113.262,0.247,100,2.236,0.447,0.486
42,9,607.389,1.167,6.771,1.692,3.421,0.416,100,4.000,0.250,0.667
43,4,614.750,1.750,3.192,1.596,108.435,0.857,100,2.000,0.500,0.800
44,5,618.300,1.300,3.833,1.661,45.000,0.873,100,2.308,0.433,0.769
45,6,633.000,1.167,4.224,1.809,0.000,0.686,100,2.335,0.428,0.750
46,6,643.000,1.500,4.633,1.649,39.690,0.769,100,2.810,0.356,0.750
47,11,670.318,1.591,5.928,2.363,5.577,0.420,100,2.509,0.399,0.595
48,13,681.500,2.115,5.765,2.871,1.541E-14,0.393,100,2.008,0.498,0.542
49,10,725.200,1.500,5.214,2.442,172.405,0.482,100,2.135,0.468,0.645
50,12,757.167,1.000,8.846,1.727,176.953,0.314,100,5.121,0.195,0.667
51,23,778.065,2.978,8.465,3.459,12.309,0.220,100,2.447,0.409,0.434
52,5,790.500,1.100,3.244,1.963,0.000,0.764,100,1.653,0.605,0.833
53,5,800.500,1.100,3.244,1.963,0.000,0.764,100,1.653,0.605,0.833
54,7,822.643,1.357,5.471,1.629,159.699,0.621,100,3.358,0.298,0.667
55,4,827.000,1.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
56,53,416.745,6.915,15.311,4.407,161.289,0.078,100,3.474,0.288,0.234
57,19,299.289,8.500,8.627,2.804,39.859,0.183,100,3.076,0.325,0.336
58,19,738.289,7.921,9.520,2.541,129.298,0.255,100,3.746,0.267,0.418
