 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,34,3.029,12.588,16.218,2.669,85.834,0.121,100,6.076,0.165,0.308
2,7,18.357,1.071,4.903,1.818,6.132,0.564,100,2.697,0.371,0.737
3,17,27.500,2.206,7.117,3.041,179.586,0.256,100,2.340,0.427,0.442
4,3,51.833,0.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
5,12,96.417,1.917,9.318,1.640,19.010,0.351,100,5.683,0.176,0.600
6,7,112.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
7,23,125.630,6.674,8.939,3.276,61.948,0.234,100,2.729,0.366,0.404
8,8,151.000,1.250,6.190,1.645,0.000,0.479,100,3.762,0.266,0.667
9,7,167.357,2.643,6.247,1.427,95.512,0.472,100,4.378,0.228,0.737
10,2,184.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
11,13,206.500,1.500,10.947,1.512,7.310,0.286,100,7.239,0.138,0.591
12,15,233.833,4.567,8.766,2.179,73.670,0.289,100,4.024,0.249,0.476
13,10,263.300,2.000,4.418,2.882,12.304,0.382,100,1.533,0.652,0.571
14,4,299.000,0.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
15,16,315.312,3.938,6.329,3.219,91.800,0.316,100,1.966,0.509,0.492
16,8,329.875,1.125,5.830,1.747,4.440,0.479,100,3.337,0.300,0.696
17,6,340.000,0.500,6.770,1.128,0.000,0.503,100,6.000,0.167,1.000
18,22,371.500,3.000,13.973,2.005,6.304,0.162,100,6.970,0.143,0.463
19,10,396.400,3.800,6.324,2.013,71.051,0.382,100,3.141,0.318,0.526
20,8,444.375,2.125,5.987,1.701,144.992,0.567,100,3.518,0.284,0.667
21,12,452.333,2.833,8.167,1.871,35.483,0.394,100,4.366,0.229,0.600
22,3,472.167,1.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
23,73,519.979,19.527,15.677,5.929,134.246,0.064,100,2.644,0.378,0.146
24,32,524.812,7.688,13.491,3.020,144.718,0.146,100,4.467,0.224,0.340
25,5,568.900,2.100,4.076,1.562,110.994,0.674,100,2.610,0.383,0.769
26,6,572.500,2.000,4.633,1.649,50.310,0.686,100,2.810,0.356,0.750
27,4,580.500,1.000,3.216,1.583,148.283,1.000,100,2.031,0.492,0.800
28,3,584.167,1.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
29,5,592.700,1.300,3.833,1.661,135.000,0.873,100,2.308,0.433,0.769
30,3,596.167,1.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
31,2,628.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
32,3,630.833,0.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
33,19,641.605,2.132,9.294,2.603,178.266,0.245,100,3.571,0.280,0.447
34,4,664.000,0.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
35,26,672.538,7.808,10.027,3.302,92.152,0.188,100,3.037,0.329,0.325
36,18,681.278,3.944,8.100,2.829,118.113,0.220,100,2.863,0.349,0.456
37,3,694.167,0.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
38,4,697.500,1.000,3.216,1.583,31.717,1.000,100,2.031,0.492,0.800
39,4,702.000,0.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
40,3,722.167,0.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
41,2,725.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
42,3,733.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
43,44,761.318,8.727,9.715,5.767,89.401,0.102,100,1.685,0.594,0.219
44,3,802.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
45,6,810.167,1.000,3.995,1.912,170.538,0.686,100,2.089,0.479,0.800
46,7,817.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
47,49,59.602,8.867,10.247,6.089,49.036,0.088,100,1.683,0.594,0.223
48,35,250.157,6.071,7.544,5.907,124.691,0.121,100,1.277,0.783,0.290
49,96,268.792,17.729,20.958,5.832,42.563,0.047,100,3.594,0.278,0.159
50,19,83.605,3.500,11.975,2.020,5.957,0.205,100,5.928,0.169,0.507
51,7,627.929,4.357,4.903,1.818,96.132,0.564,100,2.697,0.371,0.737
52,15,727.033,6.967,10.647,1.794,127.114,0.333,100,5.935,0.168,0.588
53,21,47.595,10.119,11.166,2.395,71.116,0.220,100,4.663,0.214,0.442
54,21,306.738,10.262,12.055,2.218,111.689,0.193,100,5.435,0.184,0.452
55,18,353.222,10.389,9.689,2.365,79.772,0.236,100,4.096,0.244,0.456
56,66,412.273,10.318,17.888,4.698,164.444,0.061,100,3.808,0.263,0.203
57,6,582.000,5.500,5.025,1.520,72.391,0.555,100,3.306,0.302,0.750
58,12,595.750,7.250,6.632,2.304,109.973,0.372,100,2.878,0.347,0.585
59,17,621.147,7.088,10.120,2.139,164.855,0.192,100,4.732,0.211,0.400
60,27,696.648,13.574,18.100,1.899,102.671,0.149,100,9.530,0.105,0.450
61,15,826.100,8.833,9.959,1.918,95.058,0.276,100,5.194,0.193,0.600
62,10,775.000,7.500,7.246,1.757,123.905,0.419,100,4.124,0.242,0.625
63,7,91.357,8.357,6.247,1.427,84.488,0.472,100,4.378,0.228,0.737
64,21,444.405,12.595,12.633,2.117,84.071,0.174,100,5.969,0.168,0.477
65,16,476.438,8.938,8.211,2.481,54.324,0.265,100,3.310,0.302,0.444
66,4,571.250,6.250,3.192,1.596,108.435,0.857,100,2.000,0.500,0.800
67,7,789.929,5.929,5.957,1.496,14.089,0.515,100,3.982,0.251,0.737
68,40,379.500,12.450,16.787,3.034,14.900,0.111,100,5.533,0.181,0.329
69,8,633.500,8.000,5.802,1.756,162.504,0.479,100,3.305,0.303,0.640
70,34,645.706,13.912,11.351,3.814,121.666,0.139,100,2.976,0.336,0.251
71,6,746.667,8.833,4.606,1.658,119.233,0.686,100,2.778,0.360,0.706
72,22,112.636,10.409,11.197,2.502,163.751,0.213,100,4.476,0.223,0.427
73,136,128.515,28.654,20.639,8.390,45.146,0.033,100,2.460,0.407,0.156
74,17,226.029,12.029,9.515,2.275,23.927,0.255,100,4.182,0.239,0.466
75,46,334.891,12.217,16.020,3.656,2.818,0.100,100,4.382,0.228,0.239
76,9,577.500,8.944,8.928,1.284,170.453,0.311,100,6.956,0.144,0.667
77,26,589.346,15.154,17.974,1.842,131.668,0.217,100,9.759,0.102,0.531
78,33,168.955,15.379,7.609,5.522,170.907,0.127,100,1.378,0.726,0.301
79,5,216.900,11.100,4.076,1.562,110.994,0.674,100,2.610,0.383,0.769
80,8,239.000,9.500,9.027,1.128,0.000,0.381,100,8.000,0.125,1.000
81,44,571.932,19.114,9.180,6.102,127.047,0.113,100,1.504,0.665,0.241
82,22,738.591,12.273,10.802,2.593,150.932,0.220,100,4.166,0.240,0.411
83,42,802.476,21.262,11.841,4.516,116.987,0.108,100,2.622,0.381,0.216
84,6,246.000,11.500,4.633,1.649,140.310,0.769,100,2.810,0.356,0.750
85,23,710.457,15.543,10.388,2.819,129.654,0.188,100,3.685,0.271,0.387
86,4,234.500,13.000,4.514,1.128,90.000,0.645,100,4.000,0.250,1.000
87,3,636.500,12.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
88,5,751.500,11.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
89,7,87.071,13.071,5.957,1.496,14.089,0.515,100,3.982,0.251,0.737
90,12,93.333,16.167,8.536,1.790,113.953,0.332,100,4.769,0.210,0.600
91,12,184.250,14.750,8.844,1.728,27.427,0.372,100,5.119,0.195,0.600
92,18,725.833,15.000,8.355,2.743,3.906,0.236,100,3.046,0.328,0.450
93,3,747.500,13.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
94,44,69.864,21.182,15.777,3.551,35.071,0.104,100,4.443,0.225,0.277
95,5,121.500,16.500,5.642,1.128,90.000,0.536,100,5.000,0.200,1.000
96,23,203.370,15.630,17.773,1.648,169.603,0.158,100,10.786,0.093,0.548
97,7,215.786,15.786,5.325,1.674,45.000,0.687,100,3.182,0.314,0.737
98,42,242.452,28.667,16.094,3.323,70.620,0.105,100,4.844,0.206,0.273
99,34,81.529,28.735,18.481,2.342,78.478,0.116,100,7.890,0.127,0.410
100,5,477.900,16.100,3.316,1.920,135.000,0.674,100,1.727,0.579,0.714
101,23,628.152,18.457,12.382,2.365,4.893,0.172,100,5.235,0.191,0.407
102,19,641.132,20.868,13.316,1.817,126.703,0.275,100,7.329,0.136,0.567
103,29,225.914,27.845,12.808,2.883,85.613,0.136,100,4.443,0.225,0.343
104,94,473.521,43.660,24.588,4.868,84.019,0.046,100,5.051,0.198,0.196
105,10,748.300,20.200,8.868,1.436,95.448,0.325,100,6.176,0.162,0.714
106,36,356.278,29.222,20.705,2.214,120.095,0.136,100,9.353,0.107,0.400
107,10,686.000,21.500,8.861,1.437,99.590,0.325,100,6.167,0.162,0.714
108,3,47.500,19.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
109,12,181.167,23.333,10.678,1.431,96.754,0.269,100,7.462,0.134,0.706
