 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,8,0.875,2.500,5.254,1.939,90.000,0.567,100,2.710,0.369,0.800
2,34,27.853,3.206,6.686,6.475,36.581,0.654,100,1.033,0.968,0.687
3,70,54.829,4.214,14.934,5.968,22.333,0.137,100,2.502,0.400,0.312
4,6,68.500,2.000,4.633,1.649,50.310,0.686,100,2.810,0.356,0.750
5,7,78.214,0.929,4.154,2.146,171.650,0.943,100,1.936,0.517,0.933
6,143,84.528,19.640,22.723,8.013,59.539,0.038,100,2.836,0.353,0.185
7,4,130.750,1.750,3.192,1.596,108.435,0.857,100,2.000,0.500,0.800
8,22,143.409,3.773,8.330,3.363,157.890,0.123,100,2.477,0.404,0.234
9,4,185.000,0.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
10,8,249.625,1.750,3.982,2.558,47.746,0.567,100,1.557,0.642,0.667
11,14,275.571,2.429,6.319,2.821,158.021,0.264,100,2.240,0.446,0.431
12,4,372.000,0.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
13,39,408.833,2.833,12.222,4.063,168.789,0.096,100,3.008,0.332,0.299
14,33,445.076,6.742,7.756,5.417,66.760,0.114,100,1.432,0.698,0.357
15,15,506.967,3.700,6.236,3.062,71.855,0.248,100,2.036,0.491,0.526
16,2,519.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
17,4,523.750,2.000,3.969,1.283,107.609,0.539,100,3.093,0.323,0.667
18,67,569.799,7.201,13.553,6.294,49.240,0.128,100,2.153,0.464,0.402
19,12,582.000,3.667,6.364,2.401,77.327,0.372,100,2.651,0.377,0.522
20,95,598.521,14.805,14.793,8.177,108.714,0.052,100,1.809,0.553,0.230
21,13,616.192,2.192,4.583,3.611,66.439,0.846,100,1.269,0.788,0.743
22,13,640.885,2.346,5.680,2.914,134.504,0.352,100,1.949,0.513,0.578
23,4,669.250,1.750,3.589,1.419,135.000,0.611,100,2.530,0.395,0.615
24,11,681.955,1.409,5.414,2.587,171.912,0.420,100,2.093,0.478,0.688
25,43,694.384,4.105,11.285,4.851,119.556,0.466,100,2.326,0.430,0.699
26,9,726.389,2.722,3.812,3.006,123.760,0.279,100,1.268,0.789,0.545
27,25,736.980,5.420,8.920,3.568,120.095,0.472,100,2.500,0.400,0.556
28,45,746.100,8.211,11.847,4.836,94.470,0.179,100,2.450,0.408,0.423
29,5,771.700,0.900,3.144,2.025,161.565,1.000,100,1.553,0.644,0.909
30,30,824.967,8.500,9.914,3.853,110.948,0.269,100,2.573,0.389,0.500
31,6,4.500,4.000,6.770,1.128,90.000,0.458,100,6.000,0.167,1.000
32,13,242.654,7.500,9.327,1.775,88.377,0.190,100,5.255,0.190,0.473
33,32,250.219,14.125,16.745,2.433,63.479,0.094,100,6.882,0.145,0.298
34,20,476.500,3.800,7.075,3.599,37.193,0.513,100,1.966,0.509,0.588
35,2,555.000,1.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
36,3,827.500,2.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
37,8,110.000,4.375,3.885,2.622,109.132,0.297,100,1.482,0.675,0.471
38,11,120.409,5.955,9.866,1.420,39.594,0.228,100,6.950,0.144,0.423
39,11,354.227,4.409,5.017,2.792,122.711,0.268,100,1.797,0.556,0.579
40,2,462.000,2.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
41,15,213.833,4.700,5.497,3.474,165.088,0.674,100,1.582,0.632,0.714
42,23,526.848,6.196,10.409,2.813,177.688,0.144,100,3.700,0.270,0.418
43,3,113.833,5.500,2.446,1.561,90.000,0.524,100,1.567,0.638,0.600
44,25,126.460,10.460,11.112,2.865,71.353,0.178,100,3.879,0.258,0.357
45,36,333.639,8.083,8.244,5.560,163.837,0.242,100,1.483,0.674,0.338
46,46,347.804,12.022,10.965,5.342,137.142,0.092,100,2.053,0.487,0.313
47,10,775.800,7.000,4.749,2.681,73.028,0.599,100,1.771,0.565,0.769
48,33,57.076,14.379,12.626,3.328,47.226,0.096,100,3.794,0.264,0.238
49,3,233.167,5.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
50,2,487.000,6.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
51,2,510.000,6.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
52,5,636.500,5.700,4.839,1.316,168.251,0.513,100,3.678,0.272,0.667
53,124,681.742,20.524,19.386,8.144,62.677,0.062,100,2.380,0.420,0.286
54,29,137.466,13.155,6.357,5.808,166.200,0.115,100,1.095,0.914,0.294
55,6,278.500,7.500,3.490,2.189,157.500,0.425,100,1.594,0.627,0.600
56,18,383.889,8.222,7.891,2.904,24.392,0.526,100,2.717,0.368,0.621
57,4,514.000,6.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
58,2,517.500,7.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
59,5,798.700,7.900,3.732,1.706,84.848,0.674,100,2.188,0.457,0.769
60,17,545.500,9.618,6.586,3.286,143.670,0.559,100,2.004,0.499,0.607
61,3,633.500,8.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
62,65,210.115,16.300,15.314,5.404,138.625,0.078,100,2.834,0.353,0.271
63,4,223.750,9.250,3.192,1.596,18.435,0.857,100,2.000,0.500,0.800
64,4,232.000,9.750,2.887,1.764,104.872,0.698,100,1.637,0.611,0.727
65,32,425.531,11.844,10.592,3.846,167.316,0.300,100,2.754,0.363,0.467
66,3,639.833,9.500,3.213,1.189,118.155,0.643,100,2.702,0.370,0.667
67,3,3.500,10.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
68,15,319.967,11.167,5.157,3.703,58.147,0.976,100,1.392,0.718,0.882
69,2,416.000,9.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
70,8,473.000,11.250,5.222,1.951,39.938,0.785,100,2.677,0.374,0.727
71,13,674.038,11.192,5.215,3.174,147.152,0.922,100,1.643,0.609,0.812
72,6,721.333,10.333,3.140,2.433,135.000,1.000,100,1.291,0.775,0.800
73,2,235.500,11.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
74,5,512.500,12.500,6.676,0.954,135.000,0.314,100,7.000,0.143,0.556
75,16,516.938,16.000,8.119,2.509,91.350,0.322,100,3.236,0.309,0.561
76,42,576.500,17.429,14.163,3.776,49.958,0.166,100,3.751,0.267,0.378
77,7,649.214,11.500,3.086,2.888,90.000,1.000,100,1.069,0.936,0.875
78,2,21.500,12.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
79,3,81.500,12.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
80,2,632.000,12.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
81,6,727.333,13.167,4.606,1.658,119.233,0.686,100,2.778,0.360,0.706
82,2,799.500,12.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
83,34,163.059,15.441,7.474,5.792,80.807,0.492,100,1.290,0.775,0.636
84,2,463.000,12.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
85,8,570.000,15.125,7.367,1.383,111.053,0.335,100,5.328,0.188,0.552
86,4,626.000,12.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
87,10,640.900,15.200,3.890,3.273,67.892,0.462,100,1.189,0.841,0.571
88,15,118.767,16.833,6.266,3.048,145.609,0.415,100,2.056,0.486,0.577
89,17,263.618,15.853,7.399,2.925,148.731,0.276,100,2.529,0.395,0.540
90,17,497.324,15.500,4.927,4.393,174.593,0.609,100,1.122,0.892,0.596
91,11,623.045,15.318,7.659,1.829,157.219,0.304,100,4.189,0.239,0.489
92,2,363.500,15.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
93,19,412.289,17.184,7.020,3.446,146.455,0.543,100,2.037,0.491,0.585
94,2,80.500,16.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
95,27,241.352,24.241,12.205,2.817,84.683,0.161,100,4.333,0.231,0.422
96,2,436.500,16.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
97,7,632.214,16.786,5.517,1.616,25.145,0.455,100,3.415,0.293,0.583
98,2,47.000,16.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
99,7,339.071,18.643,4.934,1.806,75.321,0.647,100,2.731,0.366,0.824
100,3,475.167,16.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
101,3,477.833,16.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
102,4,649.000,16.750,3.969,1.283,17.609,0.611,100,3.093,0.323,0.667
103,200,15.390,34.695,21.981,11.585,19.637,0.027,100,1.897,0.527,0.185
104,11,79.500,23.500,12.412,1.128,90.000,0.265,100,11.000,0.091,1.000
105,32,97.625,22.625,8.676,4.696,58.224,0.398,100,1.848,0.541,0.516
106,8,182.875,19.500,3.500,2.910,0.000,0.398,100,1.203,0.831,0.552
107,14,289.214,20.786,7.081,2.517,34.888,0.400,100,2.813,0.355,0.538
108,73,291.651,27.884,13.030,7.133,32.934,0.091,100,1.827,0.547,0.307
109,15,343.567,21.767,6.364,3.001,52.901,0.271,100,2.120,0.472,0.476
110,3,377.167,18.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
111,2,443.000,18.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
112,14,644.786,21.214,4.841,3.682,149.337,0.290,100,1.315,0.761,0.459
113,7,799.214,19.357,3.429,2.599,22.500,0.800,100,1.319,0.758,0.667
114,7,6.500,22.357,7.060,1.262,125.629,0.338,100,5.593,0.179,0.519
115,2,449.500,20.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
116,2,451.500,20.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
117,40,474.975,25.675,11.112,4.583,127.374,0.200,100,2.424,0.412,0.491
118,4,599.250,20.500,2.734,1.863,90.000,0.857,100,1.468,0.681,0.800
119,3,651.167,20.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
120,73,357.719,34.103,17.907,5.190,97.702,0.084,100,3.450,0.290,0.278
121,3,447.167,21.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
122,2,565.000,21.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
123,22,617.000,24.636,8.508,3.292,124.965,0.197,100,2.584,0.387,0.373
124,2,731.500,21.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
125,63,132.310,26.659,9.929,8.079,31.373,0.131,100,1.229,0.814,0.468
126,3,309.500,22.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
127,37,377.284,25.662,8.244,5.714,71.407,0.202,100,1.443,0.693,0.413
128,10,531.000,22.500,4.444,2.865,26.565,1.000,100,1.551,0.645,0.909
129,12,544.583,23.167,4.578,3.338,178.139,0.931,100,1.372,0.729,0.706
130,11,556.409,23.409,4.019,3.485,45.001,0.637,100,1.153,0.867,0.537
131,97,794.613,30.242,21.253,5.811,158.772,0.090,100,3.657,0.273,0.337
132,2,432.500,23.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
133,4,178.500,25.000,4.441,1.147,58.283,0.457,100,3.873,0.258,0.571
134,34,276.441,37.000,22.232,1.947,66.762,0.102,100,11.417,0.088,0.345
135,8,338.625,25.250,4.444,2.292,54.645,0.914,100,1.939,0.516,0.842
136,3,464.167,24.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
137,41,631.744,27.939,9.948,5.247,39.163,0.280,100,1.896,0.527,0.390
138,8,772.125,24.875,4.018,2.535,135.000,0.287,100,1.585,0.631,0.421
139,5,778.100,24.900,3.316,1.920,135.000,0.674,100,1.727,0.579,0.714
140,2,184.000,25.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
141,26,406.692,28.423,9.306,3.557,106.884,0.666,100,2.616,0.382,0.765
142,21,520.976,27.500,5.879,4.548,152.040,0.144,100,1.293,0.774,0.385
143,4,12.000,26.250,3.969,1.283,162.391,0.611,100,3.093,0.323,0.667
144,4,122.250,26.000,2.887,1.764,165.128,0.698,100,1.637,0.611,0.727
145,5,613.900,27.500,4.104,1.551,96.402,0.403,100,2.645,0.378,0.588
146,4,164.250,27.250,3.192,1.596,161.565,0.857,100,2.000,0.500,0.800
147,3,309.167,27.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
148,2,314.500,27.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
149,3,400.167,27.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
150,4,549.000,27.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
151,116,58.181,42.914,15.065,9.804,86.388,0.063,100,1.537,0.651,0.245
152,5,186.100,29.100,3.998,1.592,126.323,0.572,100,2.511,0.398,0.625
153,4,488.000,29.000,4.218,1.207,112.500,0.539,100,3.493,0.286,0.667
154,2,556.500,28.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
155,2,689.000,28.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
156,7,732.929,28.929,3.360,2.653,162.231,0.800,100,1.267,0.790,0.778
157,2,768.500,28.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
158,2,806.500,28.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
159,2,818.000,28.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
160,3,119.833,29.500,3.213,1.189,61.845,0.643,100,2.702,0.370,0.667
161,46,172.935,32.543,13.482,4.344,13.137,0.106,100,3.104,0.322,0.347
162,2,326.500,29.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
163,33,660.924,32.924,8.299,5.063,51.550,0.215,100,1.639,0.610,0.550
164,6,246.000,31.833,4.701,1.625,67.259,0.441,100,2.892,0.346,0.571
165,2,284.500,30.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
166,2,320.500,30.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
167,5,432.500,29.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
168,9,438.056,30.611,3.970,2.886,55.278,0.482,100,1.376,0.727,0.643
169,7,749.071,31.357,4.934,1.806,104.679,0.647,100,2.731,0.366,0.824
170,4,59.000,30.750,3.969,1.283,17.609,0.611,100,3.093,0.323,0.667
171,16,421.688,34.125,10.334,1.971,36.896,0.165,100,5.242,0.191,0.330
172,7,578.500,32.786,5.290,1.685,99.498,0.375,100,3.139,0.319,0.538
173,7,686.071,32.500,4.137,2.154,28.632,0.348,100,1.920,0.521,0.467
174,3,737.500,30.833,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
175,28,195.786,34.464,8.716,4.090,175.761,0.122,100,2.131,0.469,0.448
176,2,220.500,32.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
177,10,377.500,34.800,6.873,1.852,62.814,0.337,100,3.710,0.270,0.541
178,2,506.500,32.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
179,4,615.000,32.000,3.192,1.596,0.000,0.513,100,2.000,0.500,0.571
180,32,646.531,36.375,7.307,5.576,45.526,0.105,100,1.311,0.763,0.342
181,2,311.500,33.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
182,21,344.643,36.643,8.555,3.125,131.007,0.170,100,2.737,0.365,0.326
183,2,370.000,32.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
184,3,442.167,33.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
185,78,552.090,37.244,16.927,5.867,19.529,0.351,100,2.885,0.347,0.549
186,3,96.833,34.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
187,12,123.167,34.500,8.940,1.709,162.516,0.231,100,5.231,0.191,0.462
188,7,217.214,34.929,3.855,2.312,59.036,0.800,100,1.668,0.600,0.778
189,3,314.833,34.500,3.213,1.189,61.845,0.643,100,2.702,0.370,0.667
190,2,367.000,33.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
191,2,434.000,33.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
192,4,570.000,34.000,4.218,1.207,22.500,0.611,100,3.493,0.286,0.667
193,21,730.262,35.500,5.759,4.642,25.505,0.635,100,1.241,0.806,0.609
194,38,787.895,38.816,13.856,3.492,150.581,0.217,100,3.968,0.252,0.461
195,27,141.241,38.944,9.935,3.460,145.487,0.308,100,2.871,0.348,0.470
196,4,430.000,35.250,4.428,1.150,36.091,0.513,100,3.850,0.260,0.571
197,17,722.147,37.618,7.397,2.926,41.033,0.336,100,2.528,0.396,0.576
198,4,133.000,35.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
199,10,235.600,37.800,5.837,2.181,79.354,0.536,100,2.676,0.374,0.625
200,5,324.700,36.900,2.695,2.362,58.283,0.572,100,1.141,0.877,0.667
201,5,586.900,37.100,3.998,1.592,53.677,0.572,100,2.511,0.398,0.625
202,3,742.833,36.500,3.213,1.189,118.155,0.643,100,2.702,0.370,0.667
203,9,102.167,38.944,5.784,1.981,93.883,0.303,100,2.919,0.343,0.545
204,6,591.000,38.000,3.988,1.916,71.565,0.809,100,2.082,0.480,0.857
205,26,749.923,42.538,9.503,3.483,81.854,0.237,100,2.728,0.367,0.430
206,3,232.167,38.500,2.446,1.561,90.000,0.524,100,1.567,0.638,0.600
207,2,307.000,37.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
208,23,608.543,41.848,7.235,4.047,91.583,0.189,100,1.788,0.559,0.338
209,9,686.056,39.500,4.078,2.810,72.652,0.638,100,1.452,0.689,0.667
210,14,127.643,39.643,5.769,3.090,173.046,0.489,100,1.867,0.536,0.683
211,98,334.735,52.898,13.720,9.094,71.360,0.093,100,1.509,0.663,0.337
212,4,422.250,40.000,3.969,1.283,107.609,0.539,100,3.093,0.323,0.667
213,2,427.000,39.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
214,9,456.722,39.500,3.763,3.045,0.000,1.000,100,1.236,0.809,0.818
215,3,506.167,39.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
216,46,526.652,45.370,12.842,4.561,75.203,0.258,100,2.816,0.355,0.489
217,4,679.000,39.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
218,23,805.196,43.065,12.129,2.414,35.885,0.210,100,5.024,0.199,0.474
219,7,105.929,42.357,6.160,1.447,129.210,0.314,100,4.257,0.235,0.452
220,7,116.357,40.214,4.647,1.918,175.692,0.718,100,2.423,0.413,0.824
221,13,217.885,40.577,6.031,2.744,176.942,0.753,100,2.198,0.455,0.765
222,2,288.000,40.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
223,5,366.300,41.300,4.183,1.522,79.099,0.674,100,2.749,0.364,0.769
224,21,400.929,42.214,7.505,3.563,9.068,0.126,100,2.106,0.475,0.282
225,2,583.000,40.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
226,60,627.600,43.867,14.012,5.452,8.897,0.188,100,2.570,0.389,0.364
227,3,635.500,39.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
228,2,744.500,40.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
229,12,308.583,42.250,4.240,3.604,129.204,0.695,100,1.177,0.850,0.600
230,7,575.500,41.214,3.086,2.888,0.000,1.000,100,1.069,0.936,0.875
231,49,613.439,50.092,14.079,4.431,65.755,0.253,100,3.177,0.315,0.454
232,40,754.375,51.725,9.968,5.109,66.097,0.094,100,1.951,0.513,0.260
233,3,121.167,41.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
234,20,370.600,44.650,9.895,2.573,24.255,0.187,100,3.845,0.260,0.370
235,10,413.500,42.900,4.305,2.958,55.901,0.256,100,1.455,0.687,0.488
236,9,538.167,42.500,4.271,2.683,140.655,0.521,100,1.592,0.628,0.692
237,12,26.417,44.250,5.627,2.716,51.668,0.754,100,2.072,0.483,0.706
238,2,190.000,42.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
239,60,285.817,47.817,10.899,7.009,22.501,0.095,100,1.555,0.643,0.329
240,51,557.304,46.696,8.773,7.401,53.970,0.304,100,1.185,0.844,0.557
241,2,565.000,42.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
242,2,249.000,43.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
243,8,424.625,45.375,3.530,2.886,165.321,0.398,100,1.223,0.818,0.571
244,2,514.500,44.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
245,45,651.878,46.367,11.753,4.875,11.152,0.155,100,2.411,0.415,0.489
246,6,78.833,45.667,4.008,1.906,7.125,0.390,100,2.103,0.476,0.522
247,77,94.929,57.656,16.502,5.941,33.156,0.059,100,2.778,0.360,0.253
248,2,111.500,45.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
