 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,3,17.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
2,45,27.878,4.167,8.220,6.970,151.269,0.551,100,1.179,0.848,0.709
3,51,55.755,4.382,13.212,4.915,167.092,0.176,100,2.688,0.372,0.453
4,32,64.156,9.562,13.231,3.079,43.988,0.111,100,4.297,0.233,0.281
5,100,87.570,8.140,14.528,8.764,120.706,0.092,100,1.658,0.603,0.383
6,9,95.944,2.944,6.728,1.703,54.981,0.344,100,3.950,0.253,0.486
7,4,126.250,2.000,3.969,1.283,72.391,0.539,100,3.093,0.323,0.667
8,16,129.500,7.000,8.769,2.323,69.454,0.192,100,3.775,0.265,0.386
9,10,187.100,2.100,4.147,3.070,63.784,0.887,100,1.351,0.740,0.741
10,3,201.500,0.833,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
11,7,242.643,2.786,5.682,1.569,107.296,0.419,100,3.622,0.276,0.609
12,17,249.500,4.618,9.163,2.362,92.683,0.343,100,3.879,0.258,0.642
13,2,254.000,1.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
14,21,275.976,4.595,6.274,4.262,159.482,0.146,100,1.472,0.679,0.288
15,5,361.700,2.300,4.183,1.522,100.901,0.674,100,2.749,0.364,0.769
16,17,372.088,3.029,10.881,1.989,5.353,0.192,100,5.469,0.183,0.405
17,7,397.214,2.929,5.155,1.729,80.385,0.647,100,2.982,0.335,0.824
18,4,405.000,1.500,4.441,1.147,148.283,0.513,100,3.873,0.258,0.571
19,28,443.786,9.821,8.675,4.109,93.003,0.125,100,2.111,0.474,0.333
20,7,452.214,3.500,7.439,1.198,63.152,0.293,100,6.209,0.161,0.560
21,26,508.692,6.423,10.552,3.137,90.877,0.158,100,3.364,0.297,0.495
22,5,518.700,0.900,3.144,2.025,161.565,1.000,100,1.553,0.644,0.909
23,128,572.906,14.000,16.246,10.032,103.099,0.059,100,1.620,0.617,0.324
24,28,595.500,6.214,10.603,3.362,115.528,0.396,100,3.153,0.317,0.602
