 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,7,6.786,1.500,3.951,2.256,165.850,0.440,100,1.752,0.571,0.583
2,110,54.955,17.500,18.590,7.534,45.155,0.060,100,2.468,0.405,0.265
3,11,160.045,2.045,4.374,3.202,135.000,0.887,100,1.366,0.732,0.733
4,46,187.739,5.370,9.398,6.232,2.699,0.202,100,1.508,0.663,0.517
5,25,198.340,3.940,9.245,3.443,91.486,0.539,100,2.685,0.372,0.781
6,2,221.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
7,2,247.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
8,9,315.278,1.056,5.974,1.918,177.493,0.585,100,3.114,0.321,0.783
9,32,380.031,7.938,11.727,3.474,140.356,0.128,100,3.375,0.296,0.282
10,8,387.750,1.125,3.824,2.664,17.296,0.914,100,1.435,0.697,0.842
11,2,502.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
12,44,521.818,2.636,11.099,5.048,169.330,0.219,100,2.199,0.455,0.458
13,14,533.786,1.286,8.943,1.993,14.201,0.444,100,4.487,0.223,0.718
14,6,583.167,1.333,2.930,2.607,26.565,1.000,100,1.124,0.890,0.800
15,3,599.167,1.500,3.213,1.189,118.155,0.643,100,2.702,0.370,0.667
16,7,624.214,2.214,4.971,1.793,96.696,0.564,100,2.773,0.361,0.778
17,143,659.479,5.458,15.738,11.569,10.284,0.253,100,1.360,0.735,0.646
18,12,672.750,4.167,8.502,1.797,105.919,0.332,100,4.731,0.211,0.585
19,6,716.833,2.167,3.700,2.065,56.599,0.686,100,1.792,0.558,0.667
20,4,67.000,3.000,4.218,1.207,67.500,0.539,100,3.493,0.286,0.667
21,2,89.500,2.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
22,4,293.000,2.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
23,3,344.167,1.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
24,11,593.773,4.136,4.712,2.973,49.853,0.547,100,1.585,0.631,0.611
25,2,119.500,3.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
26,2,321.500,3.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
27,16,420.188,5.812,6.817,2.988,109.719,0.539,100,2.281,0.438,0.627
28,10,545.000,4.600,3.712,3.430,78.690,0.709,100,1.082,0.924,0.571
29,54,26.019,12.685,10.920,6.296,83.303,0.257,100,1.734,0.577,0.359
30,5,587.100,4.700,4.474,1.423,144.720,0.641,100,3.145,0.318,0.667
31,14,558.786,6.714,6.444,2.766,37.741,0.238,100,2.330,0.429,0.500
32,30,596.033,10.633,7.258,5.263,30.200,0.120,100,1.379,0.725,0.353
33,5,795.100,5.100,3.316,1.920,45.000,0.764,100,1.727,0.579,0.714
34,6,799.667,5.667,4.951,1.543,32.029,0.532,100,3.208,0.312,0.600
35,28,132.607,9.714,8.029,4.440,14.619,0.233,100,1.808,0.553,0.403
36,12,164.417,6.833,4.314,3.542,124.722,0.967,100,1.218,0.821,0.889
37,17,624.382,9.676,6.240,3.469,145.138,0.159,100,1.799,0.556,0.410
38,37,722.689,13.338,13.645,3.453,111.096,0.111,100,3.952,0.253,0.400
39,3,367.167,6.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
40,20,372.550,10.050,6.855,3.715,130.998,0.502,100,1.845,0.542,0.625
41,15,470.167,8.700,4.549,4.198,58.536,0.612,100,1.083,0.923,0.517
42,16,584.750,11.250,9.520,2.140,139.536,0.189,100,4.449,0.225,0.368
43,6,214.000,9.333,3.853,1.983,84.690,0.686,100,1.944,0.515,0.800
44,6,740.167,8.667,2.930,2.607,153.435,0.916,100,1.124,0.890,0.800
45,2,365.000,9.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
46,5,451.500,8.700,4.428,1.438,6.132,0.444,100,3.080,0.325,0.625
47,3,173.500,9.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
48,30,183.100,14.433,9.537,4.005,134.249,0.239,100,2.381,0.420,0.441
49,7,290.929,10.500,3.756,2.373,152.769,0.314,100,1.583,0.632,0.452
50,3,395.833,9.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
51,33,443.439,21.864,12.265,3.426,78.294,0.103,100,3.580,0.279,0.243
52,6,457.500,10.667,3.092,2.471,123.690,0.484,100,1.251,0.799,0.706
53,38,507.868,17.474,14.709,3.289,75.937,0.204,100,4.472,0.224,0.503
54,5,548.300,11.500,5.322,1.196,117.123,0.403,100,4.450,0.225,0.588
55,5,551.700,10.700,3.356,1.897,110.994,0.444,100,1.769,0.565,0.526
56,19,779.605,12.079,9.392,2.576,31.112,0.514,100,3.647,0.274,0.667
57,126,88.778,21.246,17.041,9.414,35.071,0.049,100,1.810,0.552,0.269
58,10,170.800,11.400,6.649,1.915,163.262,0.292,100,3.472,0.288,0.556
59,8,279.375,11.625,4.883,2.086,157.302,0.326,100,2.340,0.427,0.471
60,2,11.000,12.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
61,9,166.167,13.944,4.274,2.681,104.789,0.539,100,1.594,0.627,0.720
62,9,247.944,12.611,6.548,1.750,158.487,0.296,100,3.742,0.267,0.474
63,3,285.500,12.167,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
64,3,363.167,12.500,3.213,1.189,61.845,0.643,100,2.702,0.370,0.667
65,5,399.500,13.500,6.676,0.954,135.000,0.314,100,7.000,0.143,0.556
66,28,671.071,17.107,9.938,3.587,74.950,0.251,100,2.771,0.361,0.566
67,11,396.591,17.409,8.910,1.572,102.084,0.242,100,5.668,0.176,0.478
68,51,641.147,17.912,9.929,6.540,117.438,0.246,100,1.518,0.659,0.453
69,30,680.800,17.200,10.284,3.714,116.276,0.542,100,2.769,0.361,0.659
70,12,3.417,16.083,5.312,2.877,95.635,0.221,100,1.847,0.542,0.414
71,7,368.214,15.071,4.559,1.955,39.996,0.687,100,2.332,0.429,0.667
72,12,452.000,18.167,10.519,1.452,65.872,0.242,100,7.242,0.138,0.500
73,142,571.937,29.718,17.107,10.569,97.377,0.084,100,1.619,0.618,0.345
74,8,581.000,15.000,4.514,2.257,90.000,1.000,100,2.000,0.500,1.000
75,5,802.100,14.700,3.144,2.025,71.565,1.000,100,1.553,0.644,0.909
76,13,123.192,20.423,9.763,1.695,57.167,0.168,100,5.758,0.174,0.338
77,2,243.000,15.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
78,35,274.700,18.414,7.283,6.119,29.856,0.145,100,1.190,0.840,0.438
79,3,285.500,14.833,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
80,40,61.100,27.450,14.600,3.488,47.762,0.102,100,4.185,0.239,0.289
81,29,126.500,26.328,15.520,2.379,71.419,0.162,100,6.523,0.153,0.403
