 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,13,60.269,5.577,10.909,1.517,91.097,0.219,100,7.189,0.139,0.553
2,10,68.500,3.700,7.785,1.635,59.365,0.310,100,4.760,0.210,0.513
3,4,91.000,0.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
4,2,100.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
5,14,106.643,2.571,8.533,2.089,30.295,0.269,100,4.085,0.245,0.491
6,7,154.214,1.786,3.564,2.501,83.953,0.564,100,1.425,0.702,0.700
7,3,174.833,0.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
8,2,182.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
9,4,202.000,0.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
10,2,208.000,1.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
11,19,240.553,5.500,6.478,3.735,65.421,0.221,100,1.734,0.577,0.404
12,2,264.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
13,40,307.900,7.275,11.558,4.406,133.239,0.213,100,2.623,0.381,0.457
14,7,351.786,1.357,3.120,2.856,100.901,0.406,100,1.092,0.915,0.560
15,14,365.500,2.643,4.843,3.680,112.915,0.379,100,1.316,0.760,0.651
16,3,385.500,1.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
17,2,392.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
18,12,409.750,2.750,5.805,2.632,166.948,0.237,100,2.205,0.453,0.400
19,5,425.100,1.500,4.409,1.444,139.265,0.641,100,3.053,0.328,0.625
20,2,433.000,1.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
21,4,491.000,1.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
22,2,500.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
23,9,503.611,2.722,4.603,2.490,65.301,0.434,100,1.849,0.541,0.562
24,19,567.868,2.605,9.623,2.514,148.586,0.172,100,3.828,0.261,0.328
25,13,589.654,4.577,6.635,2.495,105.192,0.360,100,2.659,0.376,0.553
26,2,591.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
27,4,612.000,1.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
28,52,618.923,8.942,16.837,3.932,90.317,0.183,100,4.282,0.234,0.458
29,281,652.415,11.379,20.803,17.199,42.886,0.123,100,1.210,0.827,0.504
30,2,670.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
31,57,708.096,6.412,9.206,7.884,121.971,0.246,100,1.168,0.856,0.421
32,32,733.031,5.438,10.904,3.737,76.614,0.171,100,2.918,0.343,0.478
33,6,738.500,3.000,5.768,1.325,73.586,0.359,100,4.354,0.230,0.545
34,2,767.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
35,5,95.700,3.500,5.322,1.196,117.123,0.403,100,4.450,0.225,0.588
36,4,328.250,1.750,3.192,1.596,18.435,1.000,100,2.000,0.500,0.800
37,4,530.750,1.750,3.192,1.596,161.565,0.857,100,2.000,0.500,0.800
38,30,582.400,10.533,9.091,4.202,151.255,0.088,100,2.164,0.462,0.201
39,20,25.100,4.700,10.105,2.520,163.698,0.378,100,4.010,0.249,0.580
40,11,285.227,3.864,3.978,3.521,71.216,0.976,100,1.130,0.885,0.786
41,2,429.000,2.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
42,2,780.500,3.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
43,36,511.583,8.667,7.601,6.031,157.552,0.084,100,1.260,0.793,0.235
44,17,529.912,8.206,5.790,3.739,117.791,0.144,100,1.549,0.646,0.301
45,2,802.000,4.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
46,6,147.333,6.000,3.479,2.196,114.183,0.686,100,1.584,0.631,0.667
47,16,153.375,8.375,7.550,2.698,95.458,0.314,100,2.798,0.357,0.681
48,3,354.833,5.500,3.213,1.189,118.155,0.643,100,2.702,0.370,0.667
49,16,466.500,7.438,6.748,3.019,129.474,0.484,100,2.236,0.447,0.615
50,11,192.045,7.864,6.308,2.220,97.952,0.509,100,2.841,0.352,0.688
51,2,261.000,5.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
52,2,277.500,6.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
53,2,357.500,6.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
54,5,385.700,6.900,4.072,1.563,148.283,0.513,100,2.605,0.384,0.588
55,2,481.000,5.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
56,5,98.500,7.700,3.430,1.856,36.650,0.572,100,1.848,0.541,0.667
57,8,178.375,8.625,5.634,1.808,120.830,0.429,100,3.116,0.321,0.533
