 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,23,24.413,6.674,7.806,3.751,94.189,0.176,100,2.081,0.481,0.309
2,15,30.767,4.767,9.172,2.082,112.081,0.384,100,4.405,0.227,0.612
3,185,55.505,16.516,19.827,11.880,64.647,0.056,100,1.669,0.599,0.324
4,2,110.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
5,14,130.643,2.643,6.972,2.557,18.810,0.211,100,2.727,0.367,0.394
6,6,137.333,2.833,5.208,1.467,82.534,0.555,100,3.550,0.282,0.750
7,3,165.167,0.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
8,2,184.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
9,3,188.500,0.833,3.213,1.189,151.845,0.754,100,2.702,0.370,0.667
10,2,192.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
11,4,198.250,0.750,3.192,1.596,18.435,1.000,100,2.000,0.500,0.800
12,14,362.571,6.929,11.307,1.577,65.720,0.174,100,7.172,0.139,0.412
13,17,373.206,1.912,6.601,3.279,164.495,0.265,100,2.013,0.497,0.493
14,40,377.975,7.575,13.532,3.764,29.793,0.096,100,3.596,0.278,0.222
15,7,421.500,1.357,3.334,2.674,56.599,0.800,100,1.247,0.802,0.824
16,16,469.562,2.562,5.267,3.868,2.530,0.373,100,1.361,0.734,0.604
17,2,524.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
18,4,556.500,1.750,3.676,1.385,50.310,0.698,100,2.654,0.377,0.667
19,57,592.833,9.237,11.938,6.079,117.359,0.078,100,1.964,0.509,0.249
20,8,600.375,3.500,6.208,1.641,111.632,0.479,100,3.784,0.264,0.640
21,4,622.000,2.000,4.218,1.207,112.500,0.539,100,3.493,0.286,0.667
22,3,626.500,1.500,3.969,0.963,135.000,0.524,100,4.123,0.243,0.600
23,50,659.220,2.580,12.162,5.234,160.847,0.215,100,2.324,0.430,0.592
24,12,723.000,5.167,7.582,2.015,79.767,0.298,100,3.762,0.266,0.600
25,33,183.076,6.652,11.217,3.746,144.532,0.204,100,2.994,0.334,0.418
26,6,214.500,2.000,3.385,2.257,0.000,1.000,100,1.500,0.667,1.000
