 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,17,58.441,7.382,12.904,1.677,85.980,0.192,100,7.693,0.130,0.548
2,2,63.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
3,42,99.119,4.833,11.251,4.753,2.979,0.098,100,2.367,0.422,0.242
4,3,92.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
5,5,135.900,0.700,3.732,1.706,5.152,0.764,100,2.188,0.457,0.769
6,17,152.618,4.735,7.462,2.901,88.682,0.219,100,2.572,0.389,0.500
7,8,173.500,2.000,3.489,2.919,90.000,0.914,100,1.195,0.837,0.800
8,6,200.000,2.000,3.097,2.467,13.283,0.532,100,1.255,0.797,0.667
9,3,207.500,1.500,3.969,0.963,45.000,0.524,100,4.123,0.243,0.600
10,3,252.500,0.833,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
11,40,306.775,9.625,10.977,4.640,125.272,0.229,100,2.366,0.423,0.471
12,8,327.125,2.875,4.780,2.131,39.790,0.279,100,2.243,0.446,0.471
13,30,363.933,6.267,11.365,3.361,106.662,0.167,100,3.381,0.296,0.488
14,2,384.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
15,11,391.318,2.409,5.798,2.415,60.233,0.288,100,2.401,0.417,0.449
16,11,406.682,2.955,6.426,2.180,32.955,0.394,100,2.948,0.339,0.579
17,5,412.700,2.500,3.846,1.655,70.097,0.354,100,2.324,0.430,0.476
18,5,447.500,1.100,5.078,1.254,162.857,0.513,100,4.051,0.247,0.667
19,5,459.700,0.900,3.144,2.025,161.565,1.000,100,1.553,0.644,0.909
20,17,500.441,3.382,6.711,3.225,115.200,0.276,100,2.081,0.481,0.576
21,66,567.788,4.803,13.017,6.456,129.721,0.111,100,2.016,0.496,0.319
22,61,586.254,14.287,11.280,6.885,111.722,0.064,100,1.638,0.610,0.199
23,6,589.833,3.000,5.923,1.290,76.836,0.404,100,4.593,0.218,0.667
24,84,615.238,11.714,17.269,6.193,100.315,0.088,100,2.788,0.359,0.284
25,273,649.782,14.918,19.899,17.468,140.581,0.162,100,1.139,0.878,0.485
26,4,658.000,1.750,2.887,1.764,75.128,0.698,100,1.637,0.611,0.727
27,31,665.274,3.661,7.576,5.210,43.430,0.178,100,1.454,0.688,0.492
28,67,706.216,8.813,10.445,8.168,110.169,0.186,100,1.279,0.782,0.439
29,35,734.357,5.557,10.905,4.087,65.616,0.145,100,2.668,0.375,0.345
30,3,824.833,0.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
31,4,98.000,2.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
32,4,180.500,2.000,3.216,1.583,148.283,1.000,100,2.031,0.492,0.800
33,15,238.300,2.567,6.410,2.979,172.685,0.219,100,2.152,0.465,0.423
