 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,7,27.786,0.929,4.154,2.146,8.350,1.000,100,1.936,0.517,0.933
2,9,66.167,4.167,7.817,1.466,80.783,0.363,100,5.332,0.188,0.720
3,11,72.136,4.136,9.488,1.476,62.893,0.262,100,6.428,0.156,0.524
4,10,103.200,3.600,5.289,2.408,125.847,0.382,100,2.197,0.455,0.500
5,4,109.000,1.750,4.428,1.150,36.091,0.513,100,3.850,0.260,0.571
6,10,152.600,2.400,4.866,2.617,119.767,0.806,100,1.859,0.538,0.833
7,14,159.571,5.214,7.655,2.328,80.509,0.387,100,3.288,0.304,0.622
8,18,246.167,3.278,6.272,3.654,95.810,0.346,100,1.716,0.583,0.545
9,6,290.667,1.333,3.327,2.296,114.699,0.769,100,1.449,0.690,0.750
10,33,315.591,5.652,12.039,3.490,143.472,0.334,100,3.449,0.290,0.516
11,2,325.000,1.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
12,6,361.833,2.333,5.135,1.488,145.653,0.377,100,3.452,0.290,0.522
13,3,371.167,0.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
14,13,510.115,2.269,5.255,3.150,75.222,0.403,100,1.668,0.600,0.565
15,51,529.069,4.637,11.774,5.515,158.315,0.115,100,2.135,0.468,0.411
16,6,535.000,0.833,3.718,2.055,0.000,0.916,100,1.809,0.553,0.857
17,2,578.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
18,17,582.735,7.088,8.442,2.564,81.498,0.150,100,3.293,0.304,0.358
19,16,595.125,4.875,8.261,2.466,66.445,0.260,100,3.350,0.299,0.451
20,201,658.535,8.774,16.136,15.860,147.564,0.293,100,1.017,0.983,0.634
21,27,713.648,3.759,8.092,4.248,151.809,0.127,100,1.905,0.525,0.353
22,4,764.000,1.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
23,10,34.200,2.900,4.129,3.084,22.246,0.628,100,1.339,0.747,0.606
24,5,471.100,2.900,3.452,1.844,87.145,0.572,100,1.871,0.534,0.714
25,15,623.833,5.700,8.860,2.156,98.757,0.347,100,4.110,0.243,0.667
26,14,198.143,4.071,4.647,3.836,79.903,0.911,100,1.211,0.826,0.848
