 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,10,818.300,69.900,4.495,2.833,40.935,0.887,100,1.587,0.630,0.800
2,9,808.278,81.056,4.648,2.466,123.830,0.344,100,1.885,0.531,0.581
3,4,819.000,82.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
4,4,816.500,86.000,3.332,1.529,63.435,0.393,100,2.179,0.459,0.500
5,14,800.357,89.214,5.927,3.008,139.473,0.571,100,1.971,0.507,0.609
6,5,819.100,90.100,3.374,1.887,122.778,0.403,100,1.788,0.559,0.556
7,8,819.000,97.750,3.821,2.666,146.310,0.567,100,1.433,0.698,0.615
8,3,815.833,101.500,3.213,1.189,61.845,0.643,100,2.702,0.370,0.667
9,3,806.500,103.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
10,5,815.900,105.700,3.221,1.977,153.435,0.491,100,1.629,0.614,0.556
11,13,811.962,114.731,6.728,2.460,96.813,0.255,100,2.735,0.366,0.510
12,23,781.674,120.283,7.859,3.726,113.388,0.128,100,2.109,0.474,0.393
13,2,794.500,116.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
14,30,803.500,120.800,9.703,3.937,77.145,0.162,100,2.465,0.406,0.335
15,2,786.500,119.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
16,7,808.643,124.500,7.726,1.154,54.095,0.267,100,6.698,0.149,0.483
17,5,781.700,127.500,5.686,1.120,129.345,0.354,100,5.078,0.197,0.526
18,3,794.500,126.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
19,5,787.900,129.500,4.833,1.317,62.108,0.403,100,3.669,0.273,0.556
20,2,805.000,130.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
21,14,800.000,133.500,4.784,3.726,90.000,0.215,100,1.284,0.779,0.438
22,47,776.968,141.479,8.781,6.815,136.052,0.119,100,1.289,0.776,0.255
23,4,781.000,135.500,4.441,1.147,31.717,0.513,100,3.873,0.258,0.571
24,2,777.000,136.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
25,6,765.333,141.167,5.867,1.302,48.147,0.377,100,4.506,0.222,0.500
26,14,765.286,151.786,5.131,3.474,86.819,0.696,100,1.477,0.677,0.683
27,2,793.500,152.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
28,14,776.071,161.429,5.597,3.185,174.402,0.206,100,1.757,0.569,0.326
29,23,754.674,165.978,7.877,3.718,15.392,0.146,100,2.119,0.472,0.404
30,17,800.853,166.676,8.211,2.636,41.087,0.301,100,3.115,0.321,0.567
31,3,770.500,166.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
32,3,776.500,165.833,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
33,2,773.000,167.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
34,7,766.929,171.500,4.137,2.154,28.632,0.375,100,1.920,0.521,0.467
35,13,766.115,181.269,8.507,1.946,89.162,0.195,100,4.373,0.229,0.426
36,30,772.367,186.433,12.885,2.965,100.582,0.202,100,4.346,0.230,0.429
37,16,751.438,187.062,9.233,2.206,51.640,0.332,100,4.185,0.239,0.542
38,4,755.750,186.750,3.589,1.419,45.000,0.611,100,2.530,0.395,0.615
39,3,789.500,187.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
40,15,741.567,188.633,6.413,2.978,174.382,0.238,100,2.153,0.464,0.517
41,4,791.000,191.250,2.887,1.764,104.872,0.698,100,1.637,0.611,0.727
42,20,753.250,199.100,7.930,3.211,99.135,0.231,100,2.470,0.405,0.635
43,24,791.500,200.708,6.663,4.586,76.712,0.218,100,1.453,0.688,0.421
44,12,774.500,200.083,4.517,3.382,35.022,0.643,100,1.335,0.749,0.558
45,3,799.167,202.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
46,4,796.000,204.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
47,19,754.447,209.500,6.652,3.637,111.496,0.681,100,1.829,0.547,0.655
48,14,768.143,210.643,7.069,2.522,134.698,0.675,100,2.803,0.357,0.700
49,15,779.900,211.500,6.640,2.876,56.823,0.184,100,2.309,0.433,0.492
50,13,728.500,214.038,4.939,3.351,62.935,0.846,100,1.474,0.679,0.867
51,106,731.877,224.887,14.579,9.257,171.840,0.115,100,1.575,0.635,0.308
52,5,763.100,219.300,4.474,1.423,35.280,0.641,100,3.145,0.318,0.667
53,14,786.643,225.571,6.548,2.722,132.989,0.629,100,2.405,0.416,0.667
54,122,747.238,233.656,16.727,9.286,60.318,0.140,100,1.801,0.555,0.532
55,2,793.500,228.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
56,2,737.500,233.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
57,47,720.564,243.202,13.261,4.513,122.231,0.109,100,2.939,0.340,0.382
58,12,750.417,243.250,4.714,3.241,36.543,0.235,100,1.455,0.687,0.407
59,12,705.583,244.333,6.312,2.420,61.350,0.404,100,2.608,0.383,0.522
60,3,732.833,241.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
61,13,740.808,244.269,6.638,2.494,155.306,0.294,100,2.662,0.376,0.456
62,30,758.467,246.233,9.242,4.133,54.700,0.566,100,2.236,0.447,0.714
63,4,716.500,255.000,3.216,1.583,31.717,1.000,100,2.031,0.492,0.800
64,2,743.500,255.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
65,140,706.336,270.043,19.553,9.117,108.582,0.057,100,2.145,0.466,0.317
66,51,722.892,260.598,11.498,5.647,3.523,0.129,100,2.036,0.491,0.353
67,5,734.500,257.100,5.078,1.254,17.143,0.513,100,4.051,0.247,0.667
68,2,721.000,257.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
69,14,735.929,260.214,6.927,2.573,2.485,0.215,100,2.692,0.371,0.438
70,9,760.833,262.611,3.919,2.924,20.301,1.000,100,1.340,0.746,0.857
71,10,732.900,272.000,4.186,3.041,125.355,0.887,100,1.376,0.726,0.769
72,8,695.000,274.000,4.514,2.257,0.000,1.000,100,2.000,0.500,1.000
