 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,4,814.750,72.750,3.589,1.419,45.000,0.611,100,2.530,0.395,0.615
2,4,819.250,77.750,3.192,1.596,71.565,0.857,100,2.000,0.500,0.800
3,8,819.000,82.250,4.514,2.257,126.870,0.520,100,2.000,0.500,0.640
4,56,812.786,89.357,13.441,5.305,117.613,0.314,100,2.534,0.395,0.569
5,2,817.000,85.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
6,12,795.750,97.000,5.397,2.831,115.712,0.363,100,1.907,0.524,0.571
7,15,810.900,102.700,5.448,3.505,126.721,0.340,100,1.554,0.643,0.566
8,4,804.750,104.500,2.734,1.863,90.000,0.857,100,1.468,0.681,0.800
9,9,796.944,106.944,4.878,2.349,22.232,0.257,100,2.076,0.482,0.383
10,5,819.700,108.300,4.183,1.522,100.901,0.674,100,2.749,0.364,0.769
11,15,803.700,111.833,6.643,2.875,123.369,0.384,100,2.311,0.433,0.526
12,12,782.833,113.250,6.926,2.206,62.127,0.286,100,3.139,0.319,0.453
13,3,799.167,118.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
14,14,819.786,123.214,7.017,2.540,79.170,0.218,100,2.763,0.362,0.424
15,8,778.875,126.000,4.309,2.364,171.551,0.479,100,1.823,0.549,0.667
16,2,809.500,127.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
17,3,772.500,128.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
18,2,776.000,128.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
19,16,814.688,138.375,8.064,2.526,83.339,0.168,100,3.192,0.313,0.410
20,3,767.833,135.500,3.213,1.189,61.845,0.643,100,2.702,0.370,0.667
21,15,796.300,136.833,5.114,3.735,152.624,0.976,100,1.369,0.730,0.857
22,29,787.431,145.707,11.788,3.132,117.259,0.131,100,3.763,0.266,0.272
23,66,805.379,146.606,17.569,4.783,76.220,0.116,100,3.673,0.272,0.429
24,15,790.233,141.433,6.680,2.859,122.859,0.674,100,2.336,0.428,0.750
25,2,765.000,140.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
26,2,781.500,143.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
27,16,784.250,152.250,6.990,2.915,93.727,0.148,100,2.398,0.417,0.281
28,3,810.500,147.500,3.969,0.963,45.000,0.524,100,4.123,0.243,0.600
29,54,763.500,153.741,9.210,7.465,112.960,0.112,100,1.234,0.811,0.378
30,3,795.500,148.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
31,41,778.939,164.183,11.611,4.496,128.627,0.162,100,2.582,0.387,0.358
32,3,787.167,158.500,3.213,1.189,61.845,0.643,100,2.702,0.370,0.667
33,3,791.167,161.500,2.446,1.561,90.000,0.524,100,1.567,0.638,0.600
34,4,768.250,162.500,3.676,1.385,39.690,0.698,100,2.654,0.377,0.667
35,20,753.900,167.400,7.475,3.407,38.352,0.572,100,2.194,0.456,0.656
36,2,763.000,164.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
37,4,790.000,165.250,2.887,1.764,104.872,0.698,100,1.637,0.611,0.727
38,2,766.000,165.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
39,2,797.000,166.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
40,3,801.500,167.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
41,24,767.875,174.250,8.858,3.450,87.849,0.493,100,2.568,0.389,0.686
42,12,777.583,182.333,7.049,2.168,23.804,0.249,100,3.252,0.308,0.375
43,2,804.500,181.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
