 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,16,817.750,75.875,6.434,3.166,74.737,0.272,100,2.032,0.492,0.451
2,17,808.618,82.618,5.981,3.619,88.233,0.649,100,1.653,0.605,0.618
3,2,815.500,83.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
4,24,812.875,89.667,7.354,4.155,68.122,0.572,100,1.770,0.565,0.632
5,4,820.250,88.500,2.734,1.863,90.000,0.857,100,1.468,0.681,0.800
6,8,795.125,95.000,3.583,2.843,133.807,0.785,100,1.260,0.793,0.696
7,5,809.900,101.700,3.144,2.025,108.435,1.000,100,1.553,0.644,0.909
8,8,818.875,103.500,6.211,1.640,56.003,0.429,100,3.787,0.264,0.533
9,6,796.000,102.833,4.965,1.539,180.000,0.390,100,3.227,0.310,0.545
10,23,801.283,108.848,7.714,3.796,144.139,0.253,100,2.032,0.492,0.422
11,3,792.833,106.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
12,4,820.250,109.000,3.969,1.283,107.609,0.539,100,3.093,0.323,0.667
13,9,820.278,116.944,4.260,2.690,27.172,0.404,100,1.583,0.632,0.581
14,2,816.500,121.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
15,9,778.611,123.167,4.217,2.718,100.278,0.799,100,1.552,0.645,0.783
16,6,819.000,123.833,5.972,1.279,22.330,0.390,100,4.668,0.214,0.571
17,7,808.214,124.500,3.086,2.888,90.000,1.000,100,1.069,0.936,0.875
18,12,794.500,133.917,4.618,3.309,173.791,0.851,100,1.396,0.716,0.750
19,17,812.029,136.735,7.771,2.785,79.112,0.146,100,2.790,0.358,0.351
20,33,804.530,138.985,8.297,5.064,79.455,0.283,100,1.639,0.610,0.512
21,24,782.958,140.250,8.043,3.799,120.291,0.122,100,2.117,0.472,0.340
22,7,787.786,137.929,3.855,2.312,120.964,0.800,100,1.668,0.600,0.778
23,16,765.250,149.938,7.293,2.793,90.453,0.254,100,2.611,0.383,0.516
24,3,793.833,145.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
25,5,782.700,147.100,4.735,1.345,139.213,0.444,100,3.521,0.284,0.556
26,3,807.500,146.500,3.969,0.963,45.000,0.524,100,4.123,0.243,0.600
27,5,788.900,148.500,4.833,1.317,62.108,0.403,100,3.669,0.273,0.556
28,19,801.395,151.447,6.160,3.927,64.998,0.147,100,1.568,0.638,0.396
29,14,761.000,156.071,6.655,2.679,105.748,0.203,100,2.484,0.403,0.368
30,6,782.000,153.833,6.960,1.098,41.046,0.312,100,6.340,0.158,0.500
31,5,785.700,154.500,5.322,1.196,62.877,0.403,100,4.450,0.225,0.588
32,9,772.500,155.167,8.050,1.423,153.592,0.263,100,5.656,0.177,0.462
33,3,781.500,158.500,3.969,0.963,45.000,0.524,100,4.123,0.243,0.600
34,8,765.875,160.750,6.302,1.616,47.915,0.386,100,3.900,0.256,0.500
35,25,777.180,162.820,10.089,3.155,130.698,0.306,100,3.198,0.313,0.510
36,11,753.045,164.136,7.234,1.936,48.633,0.384,100,3.736,0.268,0.611
37,21,766.119,170.929,5.382,4.969,30.964,0.916,100,1.083,0.923,0.724
38,24,775.333,182.708,6.804,4.491,35.448,0.115,100,1.515,0.660,0.358
39,20,757.000,184.150,6.879,3.702,167.606,0.185,100,1.858,0.538,0.494
40,18,802.611,185.111,6.730,3.405,49.002,0.514,100,1.976,0.506,0.621
41,13,747.962,187.731,5.060,3.271,12.582,0.280,100,1.547,0.647,0.591
42,13,767.423,191.885,5.258,3.148,65.521,0.206,100,1.670,0.599,0.377
43,3,771.500,194.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
44,11,766.864,202.500,6.292,2.226,114.137,0.297,100,2.826,0.354,0.458
45,6,729.167,203.333,4.134,1.848,77.067,0.809,100,2.237,0.447,0.857
46,22,773.545,207.409,9.271,3.021,110.584,0.380,100,3.069,0.326,0.543
47,6,756.333,203.500,4.556,1.677,132.224,0.484,100,2.717,0.368,0.571
48,13,751.577,206.808,6.630,2.496,28.551,0.371,100,2.656,0.377,0.531
49,7,738.500,207.357,3.334,2.674,123.401,0.898,100,1.247,0.802,0.824
50,8,743.750,207.375,3.773,2.699,145.996,0.429,100,1.398,0.715,0.552
51,19,753.184,216.921,9.106,2.657,106.756,0.291,100,3.428,0.292,0.535
52,13,774.962,218.577,4.788,3.457,20.795,0.675,100,1.385,0.722,0.578
53,12,793.000,217.833,6.356,2.404,152.361,0.372,100,2.644,0.378,0.585
54,10,724.000,219.000,4.093,3.111,71.565,0.982,100,1.316,0.760,0.769
55,23,717.848,224.239,10.559,2.773,65.758,0.308,100,3.808,0.263,0.460
56,5,791.700,224.100,3.713,1.715,6.047,0.572,100,2.165,0.462,0.667
57,3,754.500,225.833,3.213,1.189,151.845,0.754,100,2.702,0.370,0.667
58,14,768.357,228.643,6.273,2.842,131.499,0.811,100,2.208,0.453,0.778
59,4,781.000,227.250,4.428,1.150,36.091,0.513,100,3.850,0.260,0.571
60,9,754.722,229.500,4.301,2.664,156.849,0.377,100,1.614,0.619,0.545
61,4,781.500,230.000,4.441,1.147,58.283,0.457,100,3.873,0.258,0.571
62,165,731.391,242.167,17.725,11.852,162.117,0.142,100,1.496,0.669,0.333
63,2,778.000,233.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
64,2,709.500,235.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
65,4,764.500,237.750,2.734,1.863,0.000,1.000,100,1.468,0.681,0.800
66,173,747.113,253.535,18.767,11.737,56.417,0.202,100,1.599,0.625,0.496
67,5,785.700,242.700,4.183,1.522,79.099,0.674,100,2.749,0.364,0.769
68,2,714.000,244.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
69,31,704.790,259.468,8.995,4.388,107.083,0.132,100,2.050,0.488,0.365
70,19,716.447,256.658,7.380,3.278,31.991,0.275,100,2.251,0.444,0.452
71,2,701.000,259.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
72,30,723.200,264.433,10.641,3.590,112.109,0.281,100,2.964,0.337,0.462
73,35,695.700,264.614,9.355,4.763,63.881,0.546,100,1.964,0.509,0.737
74,37,758.716,264.257,9.623,4.896,54.913,0.567,100,1.966,0.509,0.679
75,2,760.500,272.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
76,6,707.500,274.167,3.440,2.221,11.599,0.532,100,1.549,0.646,0.600
77,2,717.000,273.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
78,73,727.432,277.856,17.584,5.286,4.297,0.078,100,3.327,0.301,0.354
79,2,743.500,274.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
80,4,759.000,275.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
