 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,7,817.357,69.786,7.740,1.152,42.635,0.305,100,6.721,0.149,0.519
2,2,819.000,76.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
3,9,808.500,79.167,4.204,2.726,54.217,1.000,100,1.542,0.648,0.857
4,20,812.450,83.800,8.041,3.167,70.235,0.513,100,2.539,0.394,0.678
5,3,820.167,83.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
6,3,795.833,91.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
7,12,809.500,95.333,6.067,2.518,99.936,0.643,100,2.409,0.415,0.750
8,6,819.500,97.000,4.311,1.772,37.982,0.425,100,2.433,0.411,0.600
9,2,795.000,97.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
10,5,799.300,98.900,4.735,1.345,139.213,0.491,100,3.521,0.284,0.556
11,3,792.167,99.500,3.213,1.189,61.845,0.643,100,2.702,0.370,0.667
12,5,818.300,101.300,4.521,1.408,148.879,0.641,100,3.211,0.311,0.625
13,2,794.000,101.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
14,20,801.700,104.050,9.432,2.700,160.637,0.453,100,3.493,0.286,0.690
15,2,820.000,104.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
16,6,820.500,111.667,4.339,1.761,125.249,0.686,100,2.464,0.406,0.667
17,8,816.000,115.125,6.672,1.527,74.601,0.370,100,4.370,0.229,0.571
18,7,807.214,117.500,3.086,2.888,90.000,1.000,100,1.069,0.936,0.875
19,8,778.625,118.875,4.271,2.385,56.981,0.914,100,1.791,0.558,0.800
20,3,819.500,117.833,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
21,12,811.833,129.917,6.248,2.445,93.963,0.217,100,2.555,0.391,0.453
22,15,793.767,128.833,5.618,3.399,145.730,0.976,100,1.653,0.605,0.857
23,40,803.125,134.700,9.391,5.423,68.454,0.219,100,1.732,0.577,0.541
24,28,784.179,137.000,11.269,3.164,121.676,0.110,100,3.562,0.281,0.267
25,10,787.600,133.000,4.661,2.732,116.778,0.337,100,1.706,0.586,0.667
26,2,810.000,137.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
27,4,781.000,140.000,4.218,1.207,112.500,0.539,100,3.493,0.286,0.667
28,3,807.500,140.500,3.969,0.963,45.000,0.524,100,4.123,0.243,0.600
29,2,764.500,141.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
30,22,770.045,148.318,11.266,2.486,160.988,0.135,100,4.531,0.221,0.286
31,15,801.767,146.300,6.213,3.074,42.854,0.177,100,2.021,0.495,0.469
32,3,782.500,147.500,3.969,0.963,45.000,0.524,100,4.123,0.243,0.600
33,20,762.550,153.800,6.001,4.243,117.538,0.149,100,1.414,0.707,0.328
34,9,781.500,152.500,6.874,1.667,45.000,0.367,100,4.123,0.243,0.500
35,23,775.239,156.848,11.127,2.632,135.132,0.320,100,4.228,0.237,0.548
36,2,798.000,162.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
37,19,765.921,165.868,6.437,3.758,102.480,0.589,100,1.713,0.584,0.613
38,15,776.233,174.500,5.755,3.319,157.737,0.193,100,1.734,0.577,0.333
39,3,797.833,176.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
40,5,752.100,178.700,3.144,2.025,71.565,1.000,100,1.553,0.644,0.909
41,13,757.885,179.269,5.793,2.857,176.469,0.371,100,2.028,0.493,0.591
42,8,771.250,180.125,4.092,2.489,119.368,0.370,100,1.644,0.608,0.533
43,17,801.324,181.088,6.507,3.326,42.350,0.486,100,1.956,0.511,0.531
44,17,747.265,182.088,6.544,3.308,172.427,0.713,100,1.978,0.505,0.723
45,4,765.750,185.250,3.192,1.596,71.565,0.857,100,2.000,0.500,0.800
46,35,770.557,197.843,9.586,4.649,111.565,0.078,100,2.062,0.485,0.311
47,2,746.000,194.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
48,26,752.385,200.692,9.657,3.428,31.114,0.416,100,2.817,0.355,0.500
49,3,738.500,201.500,3.969,0.963,45.000,0.524,100,4.123,0.243,0.600
50,8,743.750,202.250,4.208,2.420,155.301,0.520,100,1.739,0.575,0.667
51,3,740.500,203.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
52,9,752.167,209.278,5.000,2.292,142.321,0.257,100,2.182,0.458,0.514
53,12,774.583,213.500,4.639,3.294,21.245,0.308,100,1.408,0.710,0.600
54,11,792.318,213.409,4.486,3.122,177.206,0.341,100,1.437,0.696,0.500
55,13,723.115,214.808,5.255,3.150,52.610,0.627,100,1.668,0.599,0.684
56,7,753.214,214.643,3.899,2.286,115.220,0.324,100,1.706,0.586,0.583
