 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,9,812.722,77.056,3.889,2.947,88.637,1.000,100,1.320,0.758,0.818
2,48,818.250,89.688,16.221,3.768,78.215,0.303,100,4.305,0.232,0.623
3,8,811.000,88.000,5.728,1.778,8.350,0.463,100,3.222,0.310,0.727
4,130,805.423,108.877,23.332,7.094,84.890,0.124,100,3.289,0.304,0.381
5,3,812.500,91.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
6,8,793.750,100.875,3.469,2.937,95.944,0.914,100,1.181,0.847,0.762
7,4,815.250,104.500,2.734,1.863,90.000,0.857,100,1.468,0.681,0.800
8,36,795.750,115.167,13.344,3.435,87.806,0.377,100,3.885,0.257,0.590
9,6,782.833,114.333,4.391,1.740,86.005,0.484,100,2.524,0.396,0.706
10,17,819.676,117.324,5.642,3.836,150.190,0.985,100,1.471,0.680,0.829
11,14,779.214,121.429,5.892,3.025,77.663,0.400,100,1.948,0.513,0.571
12,9,811.722,120.944,6.228,1.840,61.980,0.482,100,3.385,0.295,0.643
13,10,795.000,127.100,4.829,2.636,118.321,0.650,100,1.832,0.546,0.667
14,625,797.162,154.430,35.413,22.471,71.376,0.038,100,1.576,0.635,0.348
15,11,774.955,130.409,4.867,2.878,161.523,0.322,100,1.691,0.591,0.524
16,2,794.500,131.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
17,4,770.500,132.000,3.216,1.583,148.283,1.000,100,2.031,0.492,0.800
18,2,793.000,134.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
19,20,765.450,140.750,9.685,2.629,70.336,0.513,100,3.684,0.271,0.702
20,2,815.000,144.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
21,78,762.321,158.513,13.826,7.183,85.923,0.128,100,1.925,0.520,0.357
22,10,783.400,153.500,8.367,1.522,123.233,0.256,100,5.498,0.182,0.455
23,2,784.000,160.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
24,4,767.250,165.250,3.589,1.419,45.000,0.698,100,2.530,0.395,0.615
25,16,751.250,171.688,6.428,3.169,25.978,0.559,100,2.029,0.493,0.627
26,14,772.286,173.286,6.039,2.952,64.439,0.549,100,2.046,0.489,0.667
27,17,766.441,177.618,6.354,3.407,142.106,0.693,100,1.865,0.536,0.739
28,26,808.500,182.154,8.519,3.886,97.801,0.307,100,2.192,0.456,0.515
29,55,780.645,182.591,11.879,5.895,8.940,0.226,100,2.015,0.496,0.567
30,2,754.000,183.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
31,2,756.000,184.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
32,15,765.500,187.833,5.970,3.199,78.401,0.898,100,1.866,0.536,0.909
33,2,810.000,187.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
34,32,751.250,193.469,12.165,3.349,30.101,0.320,100,3.632,0.275,0.582
35,65,785.562,205.131,33.046,2.504,84.302,0.128,100,13.195,0.076,0.514
36,93,773.360,198.898,15.930,7.433,108.752,0.277,100,2.143,0.467,0.579
37,11,804.045,192.409,5.379,2.604,68.672,0.589,100,2.066,0.484,0.667
38,649,750.708,243.853,35.796,23.085,85.370,0.035,100,1.551,0.645,0.242
39,2,757.500,198.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
40,39,800.705,205.244,18.236,2.723,76.332,0.260,100,6.697,0.149,0.578
41,19,727.763,209.132,6.085,3.976,132.177,0.853,100,1.530,0.653,0.809
