 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,6,808.833,78.667,2.930,2.607,26.565,0.916,100,1.124,0.890,0.800
2,18,812.500,83.111,6.721,3.410,67.583,0.558,100,1.971,0.507,0.600
3,3,807.500,91.167,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
4,8,809.375,94.875,4.271,2.385,123.019,0.914,100,1.791,0.558,0.800
5,12,819.000,99.000,6.041,2.529,95.780,0.200,100,2.389,0.419,0.353
6,34,799.147,100.529,10.453,4.141,147.886,0.239,100,2.524,0.396,0.378
7,8,819.125,110.375,5.776,1.764,38.802,0.463,100,3.275,0.305,0.615
8,7,816.929,116.500,4.137,2.154,151.368,0.348,100,1.920,0.521,0.467
9,5,779.100,117.700,3.144,2.025,71.565,1.000,100,1.553,0.644,0.909
10,3,807.500,116.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
11,4,808.000,119.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
12,16,794.438,127.812,5.069,4.019,139.018,0.927,100,1.261,0.793,0.780
13,76,804.434,136.092,15.590,6.207,62.231,0.078,100,2.512,0.398,0.348
14,14,781.000,130.857,4.710,3.785,61.464,0.288,100,1.244,0.804,0.491
15,8,787.375,131.625,3.538,2.879,135.000,1.000,100,1.229,0.814,0.941
16,8,785.750,137.625,7.086,1.438,132.968,0.305,100,4.929,0.203,0.457
17,5,780.900,138.500,5.078,1.254,107.143,0.462,100,4.051,0.247,0.667
18,2,807.000,140.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
19,26,767.962,146.385,10.604,3.122,153.880,0.156,100,3.396,0.294,0.327
20,3,786.833,144.500,3.213,1.189,61.845,0.643,100,2.702,0.370,0.667
21,3,782.500,146.500,3.969,0.963,45.000,0.524,100,4.123,0.243,0.600
22,14,761.929,152.714,6.608,2.697,103.923,0.175,100,2.450,0.408,0.346
23,3,781.500,150.833,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
24,27,775.500,155.019,9.819,3.501,143.981,0.242,100,2.805,0.357,0.439
25,2,766.000,153.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
26,19,765.921,164.921,5.965,4.056,107.263,0.624,100,1.471,0.680,0.667
27,16,773.625,174.500,7.891,2.582,47.075,0.182,100,3.057,0.327,0.302
28,6,778.833,176.333,4.387,1.742,57.757,0.686,100,2.519,0.397,0.706
29,3,797.833,175.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
30,13,757.115,177.423,5.051,3.277,160.002,0.275,100,1.541,0.649,0.531
31,3,752.167,177.500,2.446,1.561,90.000,0.524,100,1.567,0.638,0.600
32,18,801.778,179.556,6.347,3.611,41.517,0.591,100,1.758,0.569,0.610
33,3,774.500,179.167,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
34,14,747.500,181.214,6.268,2.844,9.356,0.317,100,2.204,0.454,0.583
35,3,766.500,183.167,3.213,1.189,28.155,0.754,100,2.702,0.370,0.667
36,2,765.500,186.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
37,25,772.300,197.140,15.692,2.028,100.696,0.133,100,7.736,0.129,0.467
38,12,766.000,194.417,7.308,2.091,87.724,0.259,100,3.496,0.286,0.453
39,26,751.962,199.692,9.430,3.511,33.743,0.248,100,2.686,0.372,0.515
40,2,740.000,199.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
41,6,739.167,202.000,4.701,1.625,157.259,0.441,100,2.892,0.346,0.571
42,5,743.700,201.100,2.695,2.362,121.717,0.572,100,1.141,0.877,0.667
43,2,788.000,201.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
44,4,790.750,203.500,2.734,1.863,90.000,0.857,100,1.468,0.681,0.800
45,19,752.868,210.500,7.724,3.132,107.580,0.167,100,2.466,0.405,0.521
46,9,793.167,211.944,6.438,1.780,149.695,0.344,100,3.617,0.276,0.500
47,8,723.500,213.000,3.983,2.558,61.845,0.914,100,1.557,0.642,0.727
48,12,774.083,212.750,5.024,3.041,25.372,0.489,100,1.652,0.605,0.706
49,10,790.600,216.700,4.852,2.624,89.387,0.462,100,1.849,0.541,0.588
50,4,797.000,216.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
51,17,753.735,221.676,6.153,3.518,109.935,0.609,100,1.749,0.572,0.586
52,13,767.808,222.577,5.345,3.097,128.953,0.846,100,1.726,0.579,0.765
53,7,781.071,222.071,3.667,2.431,87.957,0.285,100,1.509,0.663,0.467
54,2,723.500,222.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
55,7,778.214,225.786,4.028,2.213,100.724,0.496,100,1.820,0.549,0.583
56,376,742.005,244.130,31.753,15.077,140.001,0.047,100,2.106,0.475,0.353
57,9,714.056,232.611,5.722,2.002,114.514,0.482,100,2.858,0.350,0.621
58,7,763.071,232.071,5.135,1.736,36.175,0.687,100,2.959,0.338,0.667
59,13,786.423,237.423,5.383,3.075,128.683,0.817,100,1.750,0.571,0.722
60,38,722.053,256.237,15.644,3.093,109.726,0.223,100,5.058,0.198,0.455
61,26,704.885,254.000,8.428,3.928,80.083,0.210,100,2.146,0.466,0.565
62,11,715.136,251.591,4.071,3.441,161.565,0.659,100,1.183,0.845,0.733
63,2,701.000,252.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
64,5,696.700,259.500,5.322,1.196,62.877,0.403,100,4.450,0.225,0.588
65,6,760.500,266.000,3.385,2.257,0.000,1.000,100,1.500,0.667,1.000
66,5,742.900,267.300,3.144,2.025,71.565,1.000,100,1.553,0.644,0.909
67,93,704.769,277.844,12.838,9.223,121.071,0.097,100,1.392,0.718,0.365
68,66,727.167,272.182,16.668,5.042,10.811,0.094,100,3.306,0.302,0.332
69,2,710.000,269.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
70,8,760.375,275.000,3.651,2.790,55.278,0.914,100,1.308,0.764,0.800
71,12,732.500,284.000,4.514,3.385,90.000,1.000,100,1.333,0.750,1.000
72,6,686.500,284.667,3.718,2.055,36.870,1.000,100,1.809,0.553,0.800
73,38,709.053,292.579,10.178,4.754,52.658,0.116,100,2.141,0.467,0.357
74,3,695.500,285.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
75,7,742.214,290.500,3.086,2.888,90.000,1.000,100,1.069,0.936,0.875
76,6,718.333,292.167,2.930,2.607,63.435,0.916,100,1.124,0.890,0.800
77,10,693.000,294.200,4.574,2.783,37.534,0.887,100,1.643,0.608,0.800
78,13,758.500,295.038,5.236,3.161,79.164,0.250,100,1.656,0.604,0.473
79,18,739.500,294.278,8.919,2.570,174.602,0.526,100,3.471,0.288,0.766
80,24,676.292,297.750,10.529,2.902,47.418,0.474,100,3.628,0.276,0.608
81,11,726.864,296.045,4.424,3.166,157.955,0.853,100,1.397,0.716,0.710
82,5,717.900,297.700,3.144,2.025,108.435,1.000,100,1.553,0.644,0.909
83,10,753.700,301.900,5.195,2.451,53.551,0.709,100,2.120,0.472,0.714
84,29,718.603,306.190,7.964,4.636,44.395,0.388,100,1.718,0.582,0.436
85,16,670.375,310.375,5.669,3.593,144.400,0.772,100,1.578,0.634,0.744
86,10,705.000,310.500,4.096,3.109,0.000,0.925,100,1.318,0.759,0.833
87,6,665.167,314.833,3.489,2.190,135.000,0.916,100,1.593,0.628,0.857
